step,mode,layer_idx,sublayer,module_name,dw_min,desired_bl,sto_round_update,update_bl_management,update_management,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,dw_absmax,dw_q90,dw_q99,pulse_sat_ratio,bound_sat_ratio,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,BL_mean,BL_p99,BL_hit_ratio,pulse_under_frac,pulse_ok_frac,pulse_over_frac,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs,is_transfer_step,transfer_duty,transfer_spike,transfer_efficiency,buffer_above_thresh_ratio,sign_mismatch_ratio,rel_update_error,BL_fp_mean,BL_fp_p99,BL_fp_hit_ratio,dw_p50,trace_every
0,single,0,Q,bert.encoder.layer.0.attention.self.query,0.001,31,0,1,1,0.986328125,0.013671875,1.6321487237291876e-06,5.527585744857788e-05,0.00017016008496284485,0.0,7.509961142204702e-05,0.0,0.0,0.00014269968960434198,1.0,0.0521557442843914,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.990234375,33273.01953125,0.013671875,1.0,0.0,0.0,1
0,single,0,K,bert.encoder.layer.0.attention.self.key,0.001,31,0,1,1,0.994140625,0.005859375,5.342626536730677e-07,7.960200309753418e-05,0.00010861828923225403,0.0,0.0,0.0,0.0,0.00012796306691598147,1.0,0.07865723222494125,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.994140625,15941.859375,0.005859375,0.0,0.0,0.0,1
0,single,0,V,bert.encoder.layer.0.attention.self.value,0.001,31,0,1,1,0.947265625,0.052734375,5.428150871011894e-06,5.068257451057434e-05,0.00015181396156549454,0.0,0.00012377381790429354,0.0,0.0,0.0003356631495989859,1.0,0.012448976747691631,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.970703125,55082.66796875,0.052734375,1.0,0.0,0.0,1
0,single,0,O,bert.encoder.layer.0.attention.output.dense,0.001,31,0,1,1,0.91015625,0.08984375,8.439696102868766e-06,2.7352944016456604e-05,0.0006079133599996567,0.0,0.00011384213576093316,0.0,0.0,0.0003832982329186052,1.0,0.07714387029409409,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.953125,84186.6171875,0.08984375,1.0,0.0,0.0,1
0,single,0,FFN1,bert.encoder.layer.0.intermediate.dense,0.001,31,0,1,1,0.970703125,0.029296875,3.1402453259943286e-06,4.6838074922561646e-05,0.00018053501844406128,0.0,0.00012998357124160975,0.0,0.0,0.00027482619043439627,1.0,0.007132739759981632,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.984375,44657.67578125,0.029296875,1.0,0.0,0.0,1
0,single,0,FFN2,bert.encoder.layer.0.output.dense,0.001,31,0,1,1,0.990234375,0.009765625,1.2450818758225068e-06,8.29007476568222e-05,0.00020795967429876328,0.0,0.0,0.0,0.0,0.0002019822713918984,1.0,0.02908295951783657,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.994140625,30348.466796875,0.009765625,0.0,0.0,0.0,1
0,single,1,Q,bert.encoder.layer.1.attention.self.query,0.001,31,0,1,1,0.966796875,0.033203125,5.590718501480296e-06,0.00012096762657165527,0.00023628026247024536,0.0,0.0001902303338283673,0.0,0.0,0.00022024413920007646,1.0,0.020110398530960083,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.974609375,71112.3125,0.033203125,1.0,0.0,0.0,1
0,single,1,K,bert.encoder.layer.1.attention.self.key,0.001,31,0,1,1,0.974609375,0.025390625,3.8372854760382324e-06,5.669891834259033e-05,0.00024919200222939253,0.0,0.0001448116236133501,0.0,0.0,0.00019791978411376476,1.0,0.014549586921930313,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.984375,56927.10546875,0.025390625,1.0,0.0,0.0,1
0,single,1,V,bert.encoder.layer.1.attention.self.value,0.001,31,0,1,1,0.95703125,0.04296875,3.369113528606249e-06,1.255422830581665e-05,0.00017765536904335022,0.0,9.683250391390175e-05,0.0,0.0,0.000361565500497818,1.0,0.03298144042491913,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.970703125,39929.140625,0.04296875,1.0,0.0,0.0,1
0,single,1,O,bert.encoder.layer.1.attention.output.dense,0.001,31,0,1,1,0.92578125,0.07421875,6.369366928993259e-06,3.731623291969299e-05,0.00017070025205612183,0.0,0.00011204828479094431,0.0,0.0,0.00043772696517407894,1.0,0.004192103631794453,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.95703125,55437.0625,0.07421875,1.0,0.0,0.0,1
