layer_idx,sublayer,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,dw_absmax,dw_q90,dw_q99,pulse_sat_ratio,bound_sat_ratio,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,BL_mean,BL_p99,BL_hit_ratio,pulse_under_frac,pulse_ok_frac,pulse_over_frac,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs,is_transfer_step,transfer_duty,transfer_spike,transfer_efficiency,buffer_above_thresh_ratio,sign_mismatch_ratio,rel_update_error,BL_fp_mean,BL_fp_p99,BL_fp_hit_ratio,dw_p50,trace_every
2,O,0.921484375,0.078515625,6.74031598464353e-06,1.4988472685217857e-05,0.00016752071678638458,0.0,0.00011987506441073492,0.0,0.0,0.0005375514621846378,1.0,0.03879683949053288,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.956640625,57878.909375,0.078515625,1.0,0.0,0.0,1.0
2,Q,0.980078125,0.019921875,2.749467785179149e-06,6.580877816304564e-05,0.00024044141173362732,0.0,0.00011424452386563644,0.0,0.0,0.00018645029340405017,1.0,0.005653160810470581,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.990234375,46922.3375,0.019921875,1.0,0.0,0.0,1.0
2,V,0.9265625,0.0734375,5.849626813869691e-06,7.709686178714037e-06,0.0001842152327299118,0.0,0.00011430018930695951,0.0,0.0,0.000497386057395488,1.0,0.0909647572785616,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.95703125,53737.60859375,0.0734375,1.0,0.0,0.0,1.0
3,FFN1,0.965234375,0.034765625,4.31970511272084e-06,2.7982500614598394e-05,0.0002815462648868561,0.0,0.000144117753370665,0.0,0.0,0.0003644350334070623,1.0,0.12175095081329346,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.98046875,57937.7125,0.034765625,1.0,0.0,0.0,1.0
3,FFN2,0.98359375,0.01640625,2.1435473172459753e-06,6.0344114899635315e-05,0.00018928581848740578,0.0,0.000112132026697509,0.0,0.0,0.00021992239635437727,1.0,0.08814202398061752,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.988671875,39542.291796875,0.01640625,0.9780029296875,0.0,0.0,1.0
3,K,0.9828125,0.0171875,2.3826056803954997e-06,4.504285752773285e-05,0.00020978339016437532,0.0,0.00010203285346506163,0.0,0.0,0.00018958488944917918,1.0,0.044062611274421216,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.9890625,43280.829296875,0.0171875,0.8,0.0,0.0,1.0
3,O,0.91484375,0.08515625,7.363490749412449e-06,1.725698821246624e-05,0.00019771493971347808,0.0,0.00011960769625147804,0.0,0.0,0.0005168229225091636,1.0,0.08139465395361185,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.951171875,61368.015625,0.08515625,1.0,0.0,0.0,1.0
3,Q,0.976171875,0.023828125,3.468438808340579e-06,6.582699716091156e-05,0.00022437209263443948,0.0,0.00014548816689057275,0.0,0.0,0.00021154547575861216,1.0,0.04335799007676542,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.987109375,52851.03515625,0.023828125,1.0,0.0,0.0,1.0
3,V,0.9359375,0.0640625,6.5112454649352e-06,3.2091094180941584e-05,0.00017615328542888164,0.0,0.00012860069109592586,0.0,0.0,0.0005006007151678205,1.0,0.06059252619743347,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.960546875,60872.37734375,0.0640625,1.0,0.0,0.0,1.0
4,FFN1,0.969921875,0.030078125,3.55934876097308e-06,4.4809281826019286e-05,0.00021396586671471596,0.0,0.00012444994790712373,0.0,0.0,0.00028710582409985363,1.0,0.05771724861115217,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.97890625,49093.5703125,0.030078125,1.0,0.0,0.0,1.0
