epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.40135320516733,2.356783991241455,12.59,49.39
1,2.0640796658320304,1.9979027841567993,28.08,79.34
2,1.8216304228856013,1.6438145265579223,38.46,89.07
3,1.6884051497165973,1.5797895668029784,41.69,90.52
4,1.6737226684888205,1.5309338533401489,43.01,91.62
5,1.5991814595002394,1.4514823234558105,47.35,92.21
6,1.5217025203582568,1.4246420194625855,47.66,93.07
7,1.4672059850815016,1.3549339065551758,51.16,93.85
8,1.4369158301597986,1.3797335536956787,49.35,93.59
9,1.4206042488416035,1.3264108205795289,51.35,94.12
10,1.3912829527488122,1.306287625312805,52.78,94.62
11,1.3688688073402797,1.276560128593445,54.51,94.47
12,1.3832829799407567,1.2704279518127441,54.34,94.62
13,1.3459086971405225,1.249074552345276,55.38,94.68
14,1.323760919387524,1.2550447282791137,54.53,94.82
15,1.3083250644879463,1.1974563022613525,57.27,95.24
16,1.2951120025072342,1.2172125860214233,55.78,95.35
17,1.2813664038976034,1.2518813697814941,55.13,94.86
18,1.2744881892815614,1.1962365882873536,57.11,95.49
19,1.2646542145655706,1.1850289360046387,57.41,95.64
20,1.248671524799787,1.1674981943130494,58.34,95.7
21,1.2357440829277038,1.1736222171783448,58.49,95.71
22,1.2331186251762585,1.2059718923568725,56.75,95.4
23,1.2208439476979085,1.1318991607666016,59.22,95.93
24,1.2160414545963971,1.1349444816589356,59.72,95.98
25,1.2072709164558313,1.1175370866775514,60.62,96.21
26,1.2013884331935492,1.1559810907363892,58.31,95.48
27,1.1946036979174002,1.1228429409027099,60.16,96.1
28,1.1914386218939073,1.1091374696731566,60.76,96.16
29,1.1788687837429537,1.1281506813049316,60.17,96.11
30,1.1751573058275075,1.099769290161133,61.0,96.37
31,1.1714069140263093,1.1073002769470215,60.58,96.43
32,1.1649912742468027,1.1279731557846069,59.72,96.35
33,1.1530213076334732,1.0918024419784547,61.22,96.5
34,1.1564784635335972,1.0875032264709472,62.2,96.32
35,1.1515143658870306,1.097454055595398,60.85,96.37
36,1.1487452708757842,1.0869199411392212,61.38,96.5
37,1.1542638994180239,1.0895658246994018,61.14,96.44
38,1.1503714523254296,1.0812453723907471,61.93,96.43
39,1.1492081322731116,1.0870828985214234,61.48,96.27
