epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.4030781513605364,2.356542844772339,12.58,49.36
1,2.126966981093089,1.9772072452545166,27.17,78.75
2,1.8304650951654484,1.6616340873718263,38.35,88.74
3,1.6925400920403308,1.5661196956634522,42.48,90.87
4,1.600980136027703,1.5178412265777588,43.04,91.58
5,1.5383071236121348,1.4167571844100952,48.35,92.44
6,1.493412056947366,1.388925290298462,49.62,93.25
7,1.458299777752314,1.3579578113555908,51.41,93.59
8,1.4323219757813674,1.3503868522644042,50.96,93.62
9,1.404847802565648,1.3298449769973755,50.76,94.39
10,1.3747853089601565,1.2838238306045533,53.89,94.56
11,1.3582726243214729,1.2493383744239808,55.28,94.94
12,1.3327489003157005,1.2502430654525756,54.77,94.58
13,1.314695496436877,1.2344128034591675,55.77,94.51
14,1.3023498067489037,1.2181822189331055,56.39,94.98
15,1.2885082571934432,1.1916804717063905,57.24,95.19
16,1.277344188017723,1.1933648740768432,56.75,95.51
17,1.25478717761162,1.2261463059425355,55.8,95.04
18,1.2448517759641011,1.1362657361984252,59.21,95.65
19,1.2408930161060432,1.162839891242981,57.87,95.76
20,1.2306627267446273,1.140592328453064,58.85,95.65
21,1.21365078382003,1.109224931716919,60.58,96.02
22,1.2046363292596278,1.1751597869873047,58.05,95.41
23,1.1964889161097698,1.111840979385376,60.03,96.13
24,1.1899962012584393,1.1079307371139526,60.01,96.19
25,1.1834420757415967,1.1204813158035278,59.96,95.94
26,1.1845074482453175,1.1389637517929077,59.1,95.58
