epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.4030781513605364,2.356542844772339,12.58,49.36
1,2.0213503189575976,1.8399665655136108,32.59,83.48
2,1.7839130306855226,1.59629676322937,40.97,90.26
3,1.6622216117687714,1.5169337669372558,45.02,91.63
4,1.5847766356590467,1.4557277196884155,46.71,92.65
5,1.5464960027963688,1.3870363103866576,49.76,93.36
6,1.4957906163655794,1.3970501138687135,49.16,93.07
7,1.485587635407081,1.3365252046585083,51.92,93.87
8,1.4354595725352948,1.3658871831893922,49.57,93.75
9,1.4103550794797066,1.3084167226791381,52.73,94.22
10,1.3824894538292518,1.2806651456832885,54.3,94.49
11,1.3677270919848712,1.2831318695068359,53.42,94.64
12,1.3395549535751343,1.2184826077461242,56.3,95.11
13,1.3160705765088399,1.229685689163208,56.36,94.98
14,1.3015717420822535,1.2126548212051391,56.48,95.33
15,1.2824697791001736,1.185250834083557,58.06,95.49
16,1.2724187988501328,1.1788876419067382,57.3,95.62
17,1.2556729790491936,1.1881735001564027,56.93,95.34
18,1.2504305211397317,1.1501711233139038,58.97,95.71
19,1.2338487204832909,1.1265027579307556,59.58,96.01
20,1.2213044308699095,1.1308993334770203,59.88,96.01
21,1.211284832465343,1.1200679006576537,60.59,95.89
22,1.2004263457579492,1.144981530189514,59.31,95.83
23,1.1892833990928455,1.099263034248352,60.62,96.15
24,1.1820111354192098,1.1027081622123718,60.83,96.19
25,1.1682945116972312,1.0701013916015625,62.06,96.47
26,1.1633422085872063,1.0840813301086425,61.11,96.41
27,1.151527630060147,1.0659971969604491,62.06,96.41
28,1.1434448770987682,1.0515972774505615,62.75,96.48
29,1.134923284787398,1.0604784311294555,62.36,96.5
30,1.1266392425084726,1.048084269618988,63.14,96.66
31,1.119399080826686,1.0419688892364503,63.38,96.5
32,1.1075485370098017,1.0306495524406434,63.74,96.74
33,1.099705946445465,1.0334353761672974,62.96,96.66
34,1.0935679441843278,1.0227711173057557,63.81,96.81
35,1.0875551503438217,1.0156220652580261,63.8,96.68
36,1.080567748271502,1.0017140242576599,64.51,96.73
37,1.0711280348973395,1.001027225112915,64.56,96.66
38,1.0686809918819329,0.9944598925590515,64.44,96.73
39,1.060709814536266,0.9907360907554627,64.71,96.92
40,1.0574141046939751,0.9880274098396301,64.54,96.94
41,1.0481976532019102,0.9759355240821839,65.13,97.01
42,1.0431323268474677,0.9895094052314758,65.01,96.84
43,1.0389510550560095,0.978135315990448,65.07,97.1
44,1.033417626680472,0.9777035817146301,65.38,97.17
45,1.0352609710815626,0.9725538730621338,65.42,97.04
46,1.0307417114575703,0.9684232609748841,65.65,97.07
47,1.022182539334664,0.9696086400985717,65.63,97.0
48,1.027683070072761,0.9706817580223084,65.4,97.03
49,1.0273638282066737,0.9685257713317871,65.28,97.14
