epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.108354355433048,1.8350292274475097,30.35,85.01
1,1.8244167972833683,1.7276653217315674,35.02,87.11
2,1.7612106775626157,1.67909894695282,37.15,88.51
3,1.7157837632374886,1.6299705045700073,38.92,89.38
4,1.68784056412868,1.5781397413253784,41.21,90.52
5,1.6509537761027997,1.5739260149002074,42.1,90.29
6,1.6258955393082057,1.5300249395370484,43.78,91.35
7,1.5977724701930316,1.5202136400222779,44.87,91.37
8,1.577565213655814,1.500336423110962,45.45,92.01
9,1.5609469019449673,1.4895114574432373,45.82,91.99
10,1.5667433029566056,1.494666436958313,45.33,91.93
11,1.568513146424905,1.4959447147369385,45.54,92.07
12,1.5687170184575594,1.4946598871231078,45.58,92.19
13,1.574525067439446,1.504037363433838,45.02,91.81
14,1.5829465062190324,1.5069894729614257,44.94,91.65
15,1.5894461231353956,1.5135262939453125,44.98,91.7
16,1.5915794782149486,1.5177975452423096,44.68,91.93
17,1.5980159661708735,1.5228451385498047,44.2,91.92
