epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.40135320516733,2.356783991241455,12.59,49.39
1,2.06405368462587,1.9994550638198854,28.07,79.39
2,1.8217695376811884,1.6459558708190918,38.19,88.95
3,1.691255068473327,1.560172287940979,42.75,90.84
4,1.6112383289214893,1.472281371498108,45.75,92.39
5,1.5523166628984304,1.414281657600403,48.57,92.7
6,1.5004477390876183,1.3806403425216676,49.29,93.49
7,1.4575008245614858,1.3517656232833861,51.39,93.71
8,1.4347848241145795,1.453362538909912,46.86,92.51
9,1.4182567082918607,1.3362691530227662,51.04,93.96
10,1.4078636646270752,1.3219930448532105,52.38,94.11
11,1.3745061336419522,1.2908281433105468,54.22,94.24
12,1.347674363087385,1.2718878578186035,53.86,94.31
13,1.3310718539433601,1.2195888851165773,56.46,95.14
14,1.3138118383211967,1.2606792566299438,54.17,94.75
15,1.2978049311882411,1.2041316066741943,57.69,95.23
16,1.331715618341397,1.223373454284668,56.47,95.25
17,1.2818493763605754,1.2625181673049928,54.86,94.98
18,1.276649716267219,1.185730697631836,57.47,95.34
19,1.2627129955169483,1.1801071672439576,57.27,95.48
20,1.255874980871494,1.1661605373382569,58.35,95.6
21,1.2465056957342686,1.166610591506958,58.6,95.35
22,1.2390326680281223,1.194607983970642,57.17,95.62
23,1.222759194404651,1.134294895362854,59.48,95.95
24,1.214063011530118,1.15383609790802,58.85,95.62
25,1.2090139020711947,1.1133424739837647,60.99,96.22
26,1.199730442273311,1.129899577331543,59.64,95.75
27,1.1817689385169592,1.1206010721206665,59.74,96.07
28,1.1795858872242464,1.089008988571167,61.51,96.53
29,1.1751448955291357,1.0962943579673767,61.13,96.05
30,1.168627283970515,1.0964785717964172,61.54,96.05
31,1.1641200195520351,1.0903919026374818,61.09,96.38
32,1.158095472286909,1.0925289003372192,61.34,96.32
33,1.1471847201005005,1.081202995967865,61.28,96.45
34,1.150187461039959,1.057184344291687,62.73,96.62
35,1.1412892141403297,1.0654792488098144,62.13,96.62
36,1.1398227864351027,1.0727952525138855,61.77,96.48
37,1.1322535157203675,1.056776414489746,62.39,96.83
38,1.129767801058598,1.0470975234031676,63.02,96.68
39,1.121748904692821,1.0464206288337707,62.29,96.78
40,1.1290989508995644,1.0565221264839173,62.42,96.73
41,1.1240599398429578,1.0500941843032836,62.93,96.84
42,1.1237624550477052,1.0647045240402222,62.12,96.57
43,1.1341985227205815,1.0566509615898132,62.42,96.52
