step,mode,layer_idx,sublayer,module_name,dw_min,desired_bl,sto_round_update,update_bl_management,update_management,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,dw_absmax,dw_q90,dw_q99,pulse_sat_ratio,bound_sat_ratio,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,BL_mean,BL_p99,BL_hit_ratio,pulse_under_frac,pulse_ok_frac,pulse_over_frac,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs,is_transfer_step,transfer_duty,transfer_spike,transfer_efficiency,buffer_above_thresh_ratio,sign_mismatch_ratio,rel_update_error,BL_fp_mean,BL_fp_p99,BL_fp_hit_ratio,dw_p50,trace_every
0,single,0,Q,bert.encoder.layer.0.attention.self.query,0.005,31,0,1,1,0.994140625,0.005859375,5.105612217448652e-06,0.0005395729094743729,0.001124851405620575,0.0,0.0,0.0,0.0,0.00014838212518952787,1.0,-0.06030711159110069,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.99609375,156788.5,0.005859375,0.0,0.0,0.0,1
0,single,0,K,bert.encoder.layer.0.attention.self.key,0.005,31,0,1,1,0.99609375,0.00390625,3.971181286033243e-06,0.0009417608380317688,0.0010914839804172516,0.0,0.0,0.0,0.0,0.00015341481775976717,1.0,-0.0054750037379562855,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.998046875,144161.40625,0.00390625,0.0,0.0,0.0,1
0,single,0,V,bert.encoder.layer.0.attention.self.value,0.005,31,0,1,1,0.982421875,0.017578125,9.606996172806248e-06,0.00030671246349811554,0.0008087381720542908,0.0,0.0005199812003411353,0.0,0.0,0.00035999296233057976,1.0,0.04357877001166344,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.990234375,169344.953125,0.017578125,1.0,0.0,0.0,1
0,single,0,O,bert.encoder.layer.0.attention.output.dense,0.005,31,0,1,1,0.984375,0.015625,6.893883437442128e-06,0.00024377182126045227,0.0005661193281412125,0.0,0.0004251453501638025,0.0,0.0,0.00044144841376692057,1.0,-0.014640695415437222,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.9921875,127285.9296875,0.015625,1.0,0.0,0.0,1
0,single,0,FFN1,bert.encoder.layer.0.intermediate.dense,0.005,31,0,1,1,0.990234375,0.009765625,5.750134732807055e-06,0.00032804906368255615,0.0009212745353579521,0.0,0.0,0.0,0.0,0.0002497140085324645,1.0,-0.37959665060043335,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.998046875,138947.203125,0.009765625,0.0,0.0,0.0,1
0,single,0,FFN2,bert.encoder.layer.0.output.dense,0.005,31,0,1,1,0.998046875,0.001953125,1.6841659089550376e-06,0.0008622929453849792,0.0008622929453849792,0.0,0.0,0.0,0.0,0.0002474063076078892,1.0,-0.002196429530158639,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,86229.296875,0.001953125,0.0,0.0,0.0,1
0,single,1,Q,bert.encoder.layer.1.attention.self.query,0.005,31,0,1,1,0.994140625,0.005859375,4.009010808658786e-06,0.0005967635661363602,0.0008084019646048546,0.0,0.0,0.0,0.0,0.00028327599284239113,1.0,-0.01080981083214283,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.99609375,119533.65625,0.005859375,0.0,0.0,0.0,1
0,single,1,K,bert.encoder.layer.1.attention.self.key,0.005,31,0,1,1,0.998046875,0.001953125,2.08379151445115e-06,0.0010669012553989887,0.0010669012553989887,0.0,0.0,0.0,0.0,0.0002368203131482005,1.0,-0.0019398588920012116,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,1.0,106690.125,0.001953125,0.0,0.0,0.0,1
0,single,1,V,bert.encoder.layer.1.attention.self.value,0.005,31,0,1,1,0.98046875,0.01953125,1.0094098797708284e-05,0.0004049962153658271,0.0006403811275959015,0.0,0.0005200757877901196,0.0,0.0,0.00042000983376055956,1.0,0.2784840762615204,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.984375,165233.125,0.01953125,1.0,0.0,0.0,1
0,single,1,O,bert.encoder.layer.1.attention.output.dense,0.005,31,0,1,1,0.986328125,0.013671875,5.2853238230454735e-06,0.00021128728985786438,0.0008438527584075928,0.0,0.00022404060291592032,0.0,0.0,0.0004698561388067901,1.0,-0.05976923182606697,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.994140625,115840.1640625,0.013671875,1.0,0.0,0.0,1
