condition,step,quantity,bin_idx,bin_low,bin_high,bin_center,count
no_noise,1,B,34,0.0129887,0.014432,0.0137104,493
no_noise,1,B,35,0.014432,0.0158753,0.0151537,501
no_noise,1,B,36,0.0158753,0.0173186,0.0165969,495
no_noise,1,B,37,0.0173186,0.0187619,0.0180402,474
no_noise,1,B,38,0.0187619,0.0202051,0.0194835,467
no_noise,1,B,39,0.0202051,0.0216484,0.0209268,458
no_noise,1,B,40,0.0216484,0.0230917,0.0223701,503
no_noise,1,B,41,0.0230917,0.024535,0.0238133,461
no_noise,1,B,42,0.024535,0.0259783,0.0252566,499
no_noise,1,B,43,0.0259783,0.0274215,0.0266999,461
no_noise,1,B,44,0.0274215,0.0288648,0.0281432,460
no_noise,1,B,45,0.0288648,0.0303081,0.0295865,495
no_noise,1,B,46,0.0303081,0.0317514,0.0310297,499
no_noise,1,B,47,0.0317514,0.0331947,0.032473,498
no_noise,1,B,48,0.0331947,0.0346379,0.0339163,516
no_noise,1,B,49,0.0346379,0.0360812,0.0353596,481
no_noise,1,C_eff,0,-0.524917,-0.505337,-0.515127,1
no_noise,1,C_eff,1,-0.505337,-0.485757,-0.495547,0
no_noise,1,C_eff,2,-0.485757,-0.466176,-0.475967,0
no_noise,1,C_eff,3,-0.466176,-0.446596,-0.456386,2
no_noise,1,C_eff,4,-0.446596,-0.427016,-0.436806,3
no_noise,1,C_eff,5,-0.427016,-0.407435,-0.417226,1
no_noise,1,C_eff,6,-0.407435,-0.387855,-0.397645,3
no_noise,1,C_eff,7,-0.387855,-0.368275,-0.378065,2
no_noise,1,C_eff,8,-0.368275,-0.348694,-0.358485,7
no_noise,1,C_eff,9,-0.348694,-0.329114,-0.338904,3
no_noise,1,C_eff,10,-0.329114,-0.309534,-0.319324,7
no_noise,1,C_eff,11,-0.309534,-0.289953,-0.299743,6
no_noise,1,C_eff,12,-0.289953,-0.270373,-0.280163,3
no_noise,1,C_eff,13,-0.270373,-0.250793,-0.260583,11
no_noise,1,C_eff,14,-0.250793,-0.231212,-0.241002,17
no_noise,1,C_eff,15,-0.231212,-0.211632,-0.221422,39
no_noise,1,C_eff,16,-0.211632,-0.192052,-0.201842,41
no_noise,1,C_eff,17,-0.192052,-0.172471,-0.182261,96
no_noise,1,C_eff,18,-0.172471,-0.152891,-0.162681,250
no_noise,1,C_eff,19,-0.152891,-0.133311,-0.143101,762
no_noise,1,C_eff,20,-0.133311,-0.11373,-0.12352,2196
no_noise,1,C_eff,21,-0.11373,-0.09415,-0.10394,5741
no_noise,1,C_eff,22,-0.09415,-0.0745696,-0.0843598,14807
no_noise,1,C_eff,23,-0.0745696,-0.0549893,-0.0647794,32177
no_noise,1,C_eff,24,-0.0549893,-0.0354089,-0.0451991,59262
no_noise,1,C_eff,25,-0.0354089,-0.0158286,-0.0256188,90980
no_noise,1,C_eff,26,-0.0158286,0.00375173,-0.00603844,110283
no_noise,1,C_eff,27,0.00375173,0.0233321,0.0135419,104151
no_noise,1,C_eff,28,0.0233321,0.0429124,0.0331222,79459
no_noise,1,C_eff,29,0.0429124,0.0624927,0.0527026,48443
no_noise,1,C_eff,30,0.0624927,0.0820731,0.0722829,24240
no_noise,1,C_eff,31,0.0820731,0.101653,0.0918632,10411
no_noise,1,C_eff,32,0.101653,0.121234,0.111444,4084
no_noise,1,C_eff,33,0.121234,0.140814,0.131024,1446
no_noise,1,C_eff,34,0.140814,0.160394,0.150604,516
no_noise,1,C_eff,35,0.160394,0.179975,0.170185,192
no_noise,1,C_eff,36,0.179975,0.199555,0.189765,67
no_noise,1,C_eff,37,0.199555,0.219135,0.209345,34
no_noise,1,C_eff,38,0.219135,0.238716,0.228926,16
no_noise,1,C_eff,39,0.238716,0.258296,0.248506,20
no_noise,1,C_eff,40,0.258296,0.277876,0.268086,8
no_noise,1,C_eff,41,0.277876,0.297457,0.287667,10
no_noise,1,C_eff,42,0.297457,0.317037,0.307247,7
no_noise,1,C_eff,43,0.317037,0.336617,0.326827,5
no_noise,1,C_eff,44,0.336617,0.356198,0.346408,7
no_noise,1,C_eff,45,0.356198,0.375778,0.365988,2
no_noise,1,C_eff,46,0.375778,0.395358,0.385568,1
no_noise,1,C_eff,47,0.395358,0.414939,0.405149,2
no_noise,1,C_eff,48,0.414939,0.434519,0.424729,1
no_noise,1,C_eff,49,0.434519,0.454099,0.444309,2
no_noise,1845,A,0,-0.184751,-0.178087,-0.181419,1
no_noise,1845,A,1,-0.178087,-0.171422,-0.174754,0
no_noise,1845,A,2,-0.171422,-0.164758,-0.16809,0
no_noise,1845,A,3,-0.164758,-0.158094,-0.161426,0
no_noise,1845,A,4,-0.158094,-0.15143,-0.154762,1
no_noise,1845,A,5,-0.15143,-0.144766,-0.148098,1
no_noise,1845,A,6,-0.144766,-0.138102,-0.141434,3
no_noise,1845,A,7,-0.138102,-0.131438,-0.13477,3
no_noise,1845,A,8,-0.131438,-0.124774,-0.128106,8
no_noise,1845,A,9,-0.124774,-0.11811,-0.121442,11
no_noise,1845,A,10,-0.11811,-0.111446,-0.114778,25
no_noise,1845,A,11,-0.111446,-0.104782,-0.108114,32
no_noise,1845,A,12,-0.104782,-0.0981175,-0.10145,46
no_noise,1845,A,13,-0.0981175,-0.0914534,-0.0947854,85
no_noise,1845,A,14,-0.0914534,-0.0847893,-0.0881214,133
no_noise,1845,A,15,-0.0847893,-0.0781252,-0.0814573,156
no_noise,1845,A,16,-0.0781252,-0.0714611,-0.0747932,266
no_noise,1845,A,17,-0.0714611,-0.0647971,-0.0681291,350
no_noise,1845,A,18,-0.0647971,-0.058133,-0.061465,495
no_noise,1845,A,19,-0.058133,-0.0514689,-0.0548009,596
no_noise,1845,A,20,-0.0514689,-0.0448048,-0.0481368,810
no_noise,1845,A,21,-0.0448048,-0.0381407,-0.0414727,970
no_noise,1845,A,22,-0.0381407,-0.0314766,-0.0348087,1109
no_noise,1845,A,23,-0.0314766,-0.0248125,-0.0281446,1319
no_noise,1845,A,24,-0.0248125,-0.0181484,-0.0214805,1446
no_noise,1845,A,25,-0.0181484,-0.0114843,-0.0148164,1594
no_noise,1845,A,26,-0.0114843,-0.00482026,-0.00815231,1643
no_noise,1845,A,27,-0.00482026,0.00184383,-0.00148822,1670
no_noise,1845,A,28,0.00184383,0.00850791,0.00517587,1597
no_noise,1845,A,29,0.00850791,0.015172,0.01184,1618
no_noise,1845,A,30,0.015172,0.0218361,0.018504,1590
no_noise,1845,A,31,0.0218361,0.0285002,0.0251681,1308
no_noise,1845,A,32,0.0285002,0.0351643,0.0318322,1125
no_noise,1845,A,33,0.0351643,0.0418284,0.0384963,1015
no_noise,1845,A,34,0.0418284,0.0484924,0.0451604,833
no_noise,1845,A,35,0.0484924,0.0551565,0.0518245,751
no_noise,1845,A,36,0.0551565,0.0618206,0.0584886,560
no_noise,1845,A,37,0.0618206,0.0684847,0.0651527,393
no_noise,1845,A,38,0.0684847,0.0751488,0.0718167,315
no_noise,1845,A,39,0.0751488,0.0818129,0.0784808,223
no_noise,1845,A,40,0.0818129,0.088477,0.0851449,164
no_noise,1845,A,41,0.088477,0.0951411,0.091809,116
no_noise,1845,A,42,0.0951411,0.101805,0.0984731,79
no_noise,1845,A,43,0.101805,0.108469,0.105137,44
no_noise,1845,A,44,0.108469,0.115133,0.111801,26
no_noise,1845,A,45,0.115133,0.121797,0.118465,23
no_noise,1845,A,46,0.121797,0.128461,0.125129,6
no_noise,1845,A,47,0.128461,0.135126,0.131794,11
no_noise,1845,A,48,0.135126,0.14179,0.138458,4
no_noise,1845,A,49,0.14179,0.148454,0.145122,2
no_noise,1845,B,0,-0.16164,-0.15511,-0.158375,3
no_noise,1845,B,1,-0.15511,-0.148579,-0.151845,2
no_noise,1845,B,2,-0.148579,-0.142049,-0.145314,3
no_noise,1845,B,3,-0.142049,-0.135519,-0.138784,3
no_noise,1845,B,4,-0.135519,-0.128989,-0.132254,9
no_noise,1845,B,5,-0.128989,-0.122459,-0.125724,10
no_noise,1845,B,6,-0.122459,-0.115929,-0.119194,16
no_noise,1845,B,7,-0.115929,-0.109398,-0.112663,26
no_noise,1845,B,8,-0.109398,-0.102868,-0.106133,38
no_noise,1845,B,9,-0.102868,-0.096338,-0.0996031,85
no_noise,1845,B,10,-0.096338,-0.0898078,-0.0930729,108
no_noise,1845,B,11,-0.0898078,-0.0832776,-0.0865427,137
no_noise,1845,B,12,-0.0832776,-0.0767474,-0.0800125,186
no_noise,1845,B,13,-0.0767474,-0.0702173,-0.0734824,279
no_noise,1845,B,14,-0.0702173,-0.0636871,-0.0669522,387
no_noise,1845,B,15,-0.0636871,-0.0571569,-0.060422,503
no_noise,1845,B,16,-0.0571569,-0.0506267,-0.0538918,692
no_noise,1845,B,17,-0.0506267,-0.0440965,-0.0473616,753
no_noise,1845,B,18,-0.0440965,-0.0375664,-0.0408315,961
no_noise,1845,B,19,-0.0375664,-0.0310362,-0.0343013,1130
no_noise,1845,B,20,-0.0310362,-0.024506,-0.0277711,1250
no_noise,1845,B,21,-0.024506,-0.0179758,-0.0212409,1378
no_noise,1845,B,22,-0.0179758,-0.0114456,-0.0147107,1518
no_noise,1845,B,23,-0.0114456,-0.00491546,-0.00818055,1446
no_noise,1845,B,24,-0.00491546,0.00161472,-0.00165037,1636
no_noise,1845,B,25,0.00161472,0.0081449,0.00487981,1629
no_noise,1845,B,26,0.0081449,0.0146751,0.01141,1578
no_noise,1845,B,27,0.0146751,0.0212053,0.0179402,1453
no_noise,1845,B,28,0.0212053,0.0277354,0.0244703,1347
no_noise,1845,B,29,0.0277354,0.0342656,0.0310005,1189
no_noise,1845,B,30,0.0342656,0.0407958,0.0375307,1046
no_noise,1845,B,31,0.0407958,0.047326,0.0440609,898
no_noise,1845,B,32,0.047326,0.0538562,0.0505911,729
no_noise,1845,B,33,0.0538562,0.0603863,0.0571212,573
no_noise,1845,B,34,0.0603863,0.0669165,0.0636514,480
no_noise,1845,B,35,0.0669165,0.0734467,0.0701816,322
no_noise,1845,B,36,0.0734467,0.0799769,0.0767118,234
