condition,step,erank_A,erank_B,erank_AB,erank_C
no_noise,1222,31.6489,31.6575,30.8909,543.76
no_noise,1232,31.6462,31.6559,30.8883,543.769
no_noise,1242,31.64,31.6508,30.871,543.759
no_noise,1252,31.6402,31.6505,30.8694,543.773
no_noise,1262,31.6393,31.6552,30.8817,543.785
no_noise,1272,31.6415,31.6501,30.8717,543.791
no_noise,1282,31.6395,31.6431,30.8592,543.794
no_noise,1292,31.6403,31.6413,30.8479,543.807
no_noise,1302,31.6456,31.651,30.879,543.814
no_noise,1312,31.6391,31.6525,30.8669,543.819
no_noise,1322,31.6403,31.6536,30.8826,543.828
no_noise,1332,31.6482,31.6425,30.8737,543.834
no_noise,1342,31.6542,31.648,30.8849,543.847
no_noise,1352,31.6583,31.6547,30.9123,543.853
no_noise,1362,31.6619,31.6649,30.9318,543.857
no_noise,1372,31.6693,31.6707,30.952,543.88
no_noise,1382,31.6617,31.6736,30.9309,543.887
no_noise,1392,31.6492,31.6668,30.8965,543.897
no_noise,1402,31.6551,31.6596,30.903,543.903
no_noise,1412,31.6516,31.6531,30.8838,543.904
no_noise,1422,31.646,31.6537,30.8853,543.91
no_noise,1432,31.6511,31.659,30.9079,543.921
no_noise,1442,31.6492,31.6627,30.9035,543.919
no_noise,1452,31.6448,31.658,30.8928,543.925
no_noise,1462,31.6471,31.6567,30.8978,543.927
no_noise,1472,31.6528,31.6572,30.9041,543.942
no_noise,1482,31.6504,31.6624,30.9106,543.956
no_noise,1492,31.6416,31.6595,30.9005,543.966
no_noise,1502,31.6439,31.6539,30.8911,543.974
no_noise,1512,31.6481,31.6512,30.8847,543.985
no_noise,1522,31.6484,31.654,30.8941,543.993
no_noise,1532,31.6446,31.6526,30.8929,543.993
no_noise,1542,31.6499,31.6519,30.9167,544.005
no_noise,1552,31.649,31.6583,30.9356,544.019
no_noise,1562,31.6507,31.6602,30.948,544.024
no_noise,1572,31.6493,31.6568,30.9273,544.044
no_noise,1582,31.6471,31.6544,30.9182,544.04
no_noise,1592,31.6533,31.6529,30.9241,544.041
no_noise,1602,31.6637,31.652,30.9495,544.051
no_noise,1612,31.6647,31.6456,30.9308,544.058
no_noise,1622,31.6687,31.6522,30.9513,544.062
no_noise,1632,31.664,31.6461,30.9255,544.07
no_noise,1642,31.6714,31.6538,30.9542,544.081
no_noise,1652,31.6775,31.6607,30.9918,544.084
no_noise,1662,31.67,31.6595,30.9767,544.104
no_noise,1672,31.6779,31.6564,30.9818,544.105
no_noise,1682,31.6733,31.6501,30.9752,544.116
no_noise,1692,31.6777,31.6464,30.9669,544.122
no_noise,1702,31.6847,31.6489,30.9876,544.125
no_noise,1712,31.6898,31.6441,30.9969,544.14
no_noise,1722,31.687,31.6441,30.9857,544.153
no_noise,1732,31.6792,31.6477,30.9785,544.168
no_noise,1742,31.6798,31.6582,31.0058,544.182
no_noise,1752,31.6782,31.6633,31.0134,544.194
no_noise,1762,31.6822,31.6677,31.0316,544.201
no_noise,1772,31.6828,31.6663,31.0208,544.202
no_noise,1782,31.6835,31.6675,31.0106,544.217
no_noise,1792,31.6832,31.659,31.0057,544.235
no_noise,1802,31.6795,31.6523,30.9883,544.251
no_noise,1812,31.6803,31.652,30.9996,544.253
no_noise,1822,31.683,31.6431,30.9993,544.263
no_noise,1832,31.6834,31.6431,30.9981,544.263
no_noise,1842,31.6832,31.6411,31.0021,544.28
no_noise,1852,31.6873,31.6322,30.9923,544.297
no_noise,1862,31.6886,31.6398,31.006,544.304
no_noise,1872,31.691,31.6419,31.008,544.299
no_noise,1882,31.6965,31.6403,31.0154,544.3
no_noise,1892,31.6961,31.6396,31.0086,544.315
no_noise,1902,31.6929,31.6391,31.0035,544.32
no_noise,1912,31.6932,31.6301,30.9866,544.329
no_noise,1922,31.686,31.624,30.9643,544.331
no_noise,1932,31.6845,31.6246,30.9637,544.339
no_noise,1942,31.6839,31.6319,30.9799,544.347
no_noise,1952,31.6854,31.6365,30.9856,544.354
no_noise,1962,31.6894,31.6382,30.993,544.368
no_noise,1972,31.6856,31.6378,30.9839,544.374
no_noise,1982,31.6871,31.6353,30.9898,544.38
no_noise,1992,31.6977,31.6326,30.9988,544.39
no_noise,2002,31.6964,31.6318,30.9908,544.417
no_noise,2012,31.691,31.6317,30.9791,544.422
no_noise,2022,31.6922,31.6346,30.9986,544.429
no_noise,2032,31.6929,31.6352,30.9947,544.434
no_noise,2042,31.6963,31.6459,31.0114,544.447
no_noise,2052,31.7017,31.6411,31.0128,544.459
no_noise,2062,31.699,31.6295,30.9807,544.459
no_noise,2072,31.7018,31.6366,30.9947,544.466
no_noise,2082,31.7033,31.6392,31.0047,544.471
no_noise,2092,31.7053,31.6332,31.0056,544.482
no_noise,2102,31.7029,31.6282,30.9845,544.492
no_noise,2112,31.7056,31.6299,31.0025,544.508
no_noise,2122,31.7064,31.6324,31.001,544.517
no_noise,2132,31.7032,31.6318,30.9942,544.532
no_noise,2142,31.7096,31.6344,31.0064,544.538
no_noise,2152,31.7096,31.6281,30.9977,544.546
no_noise,2162,31.7116,31.6303,31.0074,544.548
no_noise,2172,31.7086,31.6301,30.9955,544.547
no_noise,2182,31.7033,31.6276,30.9748,544.556
no_noise,2192,31.7049,31.6385,30.9978,544.573
no_noise,2202,31.6998,31.6398,30.9784,544.585
no_noise,2212,31.6947,31.6383,30.9661,544.593
no_noise,2222,31.6983,31.6363,30.9672,544.608
no_noise,2232,31.6945,31.6371,30.9654,544.611
no_noise,2242,31.6972,31.6443,30.9821,544.624
no_noise,2252,31.7044,31.6434,30.9938,544.627
no_noise,2262,31.6995,31.6443,30.9732,544.629
no_noise,2272,31.7098,31.6493,31.0086,544.634
no_noise,2282,31.7089,31.6568,31.0257,544.631
no_noise,2292,31.7153,31.6648,31.0531,544.635
no_noise,2302,31.7214,31.6674,31.0803,544.65
no_noise,2312,31.7239,31.6764,31.1044,544.67
no_noise,2322,31.7218,31.6667,31.0821,544.676
no_noise,2332,31.7253,31.6605,31.0766,544.677
no_noise,2342,31.7265,31.6627,31.0878,544.689
no_noise,2352,31.7191,31.6571,31.0643,544.7
no_noise,2362,31.7118,31.6567,31.0584,544.706
no_noise,2372,31.7188,31.6589,31.0809,544.714
no_noise,2382,31.7199,31.654,31.0752,544.71
no_noise,2392,31.7275,31.6609,31.1117,544.728
no_noise,2402,31.7288,31.6638,31.1105,544.736
no_noise,2412,31.7278,31.6639,31.1057,544.742
no_noise,2422,31.7334,31.659,31.1052,544.751
no_noise,2432,31.7302,31.656,31.0945,544.751
no_noise,2442,31.7225,31.6529,31.0813,544.75
no_noise,2452,31.7219,31.6499,31.078,544.754
no_noise,2462,31.7164,31.643,31.0587,544.757
no_noise,2472,31.7177,31.6444,31.0501,544.765
no_noise,2482,31.7192,31.6394,31.0467,544.768
no_noise,2492,31.7216,31.6412,31.0499,544.77
no_noise,2502,31.7254,31.6453,31.0658,544.767
no_noise,2512,31.7289,31.645,31.0711,544.783
no_noise,2522,31.7276,31.6453,31.0706,544.79
no_noise,2532,31.7292,31.6446,31.0757,544.796
no_noise,2542,31.7284,31.6592,31.0912,544.805
no_noise,2552,31.7231,31.6592,31.0698,544.803
no_noise,2562,31.7229,31.6546,31.0602,544.809
no_noise,2572,31.7239,31.6538,31.065,544.822
no_noise,2582,31.7175,31.6563,31.0552,544.823
no_noise,2592,31.7239,31.6625,31.0883,544.825
no_noise,2602,31.7205,31.6701,31.0869,544.837
no_noise,2612,31.7253,31.6769,31.1192,544.834
no_noise,2622,31.7299,31.6755,31.1175,544.834
no_noise,2632,31.7288,31.6761,31.1176,544.841
no_noise,2642,31.7262,31.6785,31.1267,544.85
no_noise,2652,31.7239,31.6721,31.1159,544.857
no_noise,2662,31.727,31.6752,31.1309,544.864
no_noise,2672,31.7295,31.6726,31.1367,544.872
no_noise,2682,31.727,31.6666,31.1264,544.875
no_noise,2692,31.7206,31.6603,31.1056,544.88
no_noise,2702,31.7188,31.6688,31.121,544.889
no_noise,2712,31.7156,31.6732,31.1232,544.899
no_noise,2722,31.7141,31.6715,31.1159,544.901
no_noise,2732,31.71,31.6589,31.0926,544.91
no_noise,2742,31.7112,31.6606,31.1036,544.911
no_noise,2752,31.7135,31.6601,31.1077,544.92
no_noise,2762,31.7189,31.655,31.1129,544.935
no_noise,2772,31.7162,31.6566,31.1162,544.939
no_noise,2782,31.72,31.6556,31.1175,544.948
no_noise,2792,31.7206,31.6565,31.1212,544.956
no_noise,2802,31.7196,31.6513,31.1047,544.958
no_noise,2812,31.7173,31.6575,31.1109,544.967
no_noise,2822,31.7199,31.6564,31.1241,544.969
no_noise,2832,31.7157,31.6555,31.1067,544.977
no_noise,2842,31.7092,31.6583,31.0944,544.979
no_noise,2852,31.7141,31.6655,31.1173,544.987
no_noise,2862,31.7151,31.6672,31.1208,544.997
no_noise,2872,31.7211,31.6739,31.1471,545.008
no_noise,2882,31.7252,31.6807,31.1655,545.013
no_noise,2892,31.7234,31.6898,31.182,545.028
no_noise,2902,31.7241,31.6893,31.1922,545.027
no_noise,2912,31.7253,31.6869,31.1925,545.032
no_noise,2922,31.7207,31.6887,31.188,545.041
no_noise,2932,31.7213,31.6949,31.1904,545.053
no_noise,2942,31.7242,31.6868,31.1951,545.057
no_noise,2952,31.7235,31.6767,31.1755,545.066
no_noise,2962,31.7227,31.6794,31.1826,545.086
no_noise,2972,31.7292,31.6846,31.2114,545.09
no_noise,2982,31.7303,31.6876,31.2151,545.096
no_noise,2992,31.7326,31.6859,31.2133,545.102
no_noise,3002,31.7296,31.6887,31.2129,545.113
no_noise,3012,31.7295,31.6907,31.2164,545.123
no_noise,3022,31.7265,31.6927,31.2187,545.13
no_noise,3032,31.7345,31.6864,31.221,545.141
no_noise,3042,31.7373,31.684,31.216,545.148
no_noise,3052,31.7417,31.6746,31.2063,545.151
no_noise,3062,31.7465,31.6815,31.2208,545.144
no_noise,3072,31.7504,31.6812,31.2292,545.152
no_noise,3082,31.7559,31.6849,31.2395,545.16
no_noise,3092,31.7591,31.6896,31.2393,545.174
no_noise,3102,31.7634,31.6942,31.2486,545.172
no_noise,3112,31.76,31.6985,31.2576,545.174
no_noise,3122,31.7592,31.6972,31.2411,545.183
no_noise,3132,31.7617,31.691,31.2355,545.189
no_noise,3142,31.7621,31.6877,31.2331,545.204
no_noise,3152,31.77,31.702,31.2694,545.214
no_noise,3162,31.7663,31.7026,31.2584,545.225
no_noise,3172,31.7633,31.7103,31.2761,545.232
no_noise,3182,31.7698,31.7131,31.2854,545.234
no_noise,3192,31.7726,31.711,31.2882,545.236
no_noise,3202,31.7722,31.7056,31.2796,545.251
no_noise,3212,31.7705,31.7075,31.2756,545.264
no_noise,3222,31.7689,31.7009,31.2589,545.269
no_noise,3232,31.7666,31.7009,31.2606,545.279
no_noise,3242,31.7639,31.7074,31.2693,545.293
no_noise,3252,31.7668,31.715,31.2879,545.303
no_noise,3262,31.7707,31.7121,31.2938,545.311
no_noise,3272,31.7719,31.7151,31.2971,545.321
no_noise,3282,31.7743,31.7098,31.297,545.33
no_noise,3292,31.7774,31.7141,31.3037,545.341
no_noise,3302,31.7801,31.7147,31.3048,545.344
no_noise,3312,31.7798,31.7109,31.299,545.338
no_noise,3322,31.7798,31.7096,31.2929,545.347
no_noise,3332,31.7813,31.7069,31.2891,545.351
no_noise,3342,31.7839,31.7061,31.2983,545.367
no_noise,3352,31.7817,31.7049,31.2882,545.371
no_noise,3362,31.7747,31.7063,31.2834,545.389
no_noise,3372,31.7734,31.7063,31.2844,545.39
no_noise,3382,31.7699,31.6993,31.2638,545.405
no_noise,3392,31.7744,31.6982,31.2694,545.414
no_noise,3402,31.7691,31.6919,31.2486,545.418
no_noise,3412,31.7678,31.6909,31.2485,545.425
no_noise,3422,31.7684,31.6869,31.2385,545.435
no_noise,3432,31.7696,31.6854,31.2337,545.432
no_noise,3442,31.7678,31.6874,31.2344,545.444
no_noise,3452,31.7643,31.691,31.241,545.447
no_noise,3462,31.7597,31.6941,31.2366,545.454
no_noise,3472,31.7664,31.6914,31.2496,545.456
no_noise,3482,31.7752,31.6987,31.272,545.46
no_noise,3492,31.7721,31.6936,31.2606,545.461
no_noise,3502,31.7678,31.687,31.2408,545.467
no_noise,3512,31.7645,31.6978,31.2582,545.473
no_noise,3522,31.7693,31.6988,31.2746,545.478
no_noise,3532,31.7694,31.7066,31.2893,545.491
no_noise,3542,31.7654,31.7005,31.269,545.494
no_noise,3552,31.7608,31.6978,31.2474,545.498
no_noise,3562,31.7606,31.6961,31.2517,545.506
no_noise,3572,31.7642,31.695,31.2451,545.511
no_noise,3582,31.7619,31.6956,31.2444,545.521
no_noise,3592,31.7551,31.6996,31.2358,545.529
no_noise,3602,31.7572,31.7059,31.2561,545.54
no_noise,3612,31.7585,31.6918,31.2438,545.552
no_noise,3622,31.7633,31.6898,31.2515,545.562
no_noise,3632,31.7582,31.6923,31.2575,545.572
no_noise,3642,31.7577,31.6927,31.2597,545.581
no_noise,3652,31.7562,31.6925,31.2689,545.585
no_noise,3662,31.758,31.699,31.2893,545.588
no_noise,3672,31.7623,31.7016,31.3063,545.591
no_noise,3682,31.7688,31.701,31.3182,545.593
no_noise,3692,31.7699,31.7026,31.3203,545.6
no_noise,3702,31.7716,31.7042,31.3261,545.605
no_noise,3712,31.7691,31.7023,31.3129,545.611
no_noise,3722,31.7674,31.7027,31.3076,545.62
no_noise,3732,31.7688,31.7105,31.322,545.63
no_noise,3742,31.7632,31.7082,31.3067,545.643
no_noise,3752,31.7681,31.715,31.3225,545.642
no_noise,3762,31.7689,31.7188,31.3261,545.647
no_noise,3772,31.7751,31.7148,31.3316,545.658
no_noise,3782,31.7748,31.7134,31.3184,545.669
no_noise,3792,31.7735,31.7068,31.2995,545.676
no_noise,3802,31.7736,31.7071,31.3047,545.682
no_noise,3812,31.7751,31.7049,31.3102,545.683
no_noise,3822,31.7773,31.7072,31.3224,545.688
no_noise,3832,31.7848,31.701,31.3283,545.683
no_noise,3842,31.7837,31.6964,31.3152,545.689
no_noise,3852,31.7801,31.696,31.3079,545.694
no_noise,3862,31.7743,31.6994,31.3006,545.696
no_noise,3872,31.7795,31.6983,31.3128,545.699
no_noise,3882,31.7772,31.7017,31.3114,545.701
no_noise,3892,31.7749,31.7027,31.3099,545.711
no_noise,3902,31.7738,31.703,31.3047,545.712
no_noise,3912,31.7741,31.7046,31.2982,545.713
no_noise,3922,31.7686,31.7057,31.2904,545.719
no_noise,3932,31.7696,31.7067,31.2892,545.712
no_noise,3942,31.7713,31.7095,31.2834,545.716
no_noise,3952,31.7718,31.7113,31.2871,545.723
no_noise,3962,31.7697,31.7164,31.2799,545.732
no_noise,3972,31.7678,31.7207,31.2826,545.737
no_noise,3982,31.7708,31.7124,31.2744,545.746
no_noise,3992,31.7761,31.712,31.2914,545.743
no_noise,4002,31.7798,31.7182,31.3057,545.751
no_noise,4012,31.7847,31.7222,31.3175,545.766
no_noise,4022,31.778,31.719,31.2965,545.765
no_noise,4032,31.7773,31.7182,31.2956,545.769
no_noise,4042,31.7833,31.7186,31.3056,545.78
no_noise,4052,31.7785,31.7273,31.3093,545.787
no_noise,4062,31.7801,31.7207,31.3081,545.79
no_noise,4072,31.7845,31.7179,31.3051,545.803
no_noise,4082,31.7792,31.7204,31.3006,545.806
no_noise,4092,31.7761,31.7252,31.3081,545.813
no_noise,4102,31.7769,31.7279,31.3116,545.819
no_noise,4112,31.7749,31.7263,31.3094,545.824
no_noise,4122,31.7803,31.724,31.3162,545.83
no_noise,4132,31.7773,31.7222,31.3118,545.828
no_noise,4142,31.7742,31.7219,31.3083,545.835
no_noise,4152,31.7708,31.7279,31.3072,545.842
no_noise,4162,31.7681,31.7256,31.2967,545.855
no_noise,4172,31.7699,31.7218,31.2869,545.864
no_noise,4182,31.771,31.7155,31.2826,545.866
no_noise,4192,31.7681,31.7201,31.2895,545.858
no_noise,4202,31.7676,31.7161,31.282,545.863
no_noise,4212,31.7738,31.7171,31.2989,545.866
no_noise,4222,31.7769,31.7172,31.3041,545.863
no_noise,4232,31.7772,31.7244,31.3118,545.864
no_noise,4242,31.7778,31.7257,31.3153,545.869
no_noise,4252,31.7799,31.7288,31.323,545.881
no_noise,4262,31.7814,31.726,31.3151,545.884
no_noise,4272,31.7818,31.7264,31.3207,545.885
no_noise,4282,31.7796,31.7332,31.3298,545.896
no_noise,4292,31.7855,31.7352,31.3468,545.899
no_noise,4302,31.7848,31.7371,31.3553,545.905
no_noise,4312,31.7866,31.7333,31.3571,545.904
no_noise,4322,31.7851,31.7346,31.3594,545.905
no_noise,4332,31.783,31.7388,31.3658,545.916
no_noise,4342,31.7808,31.7374,31.3628,545.917
no_noise,4352,31.7737,31.7302,31.3474,545.924
no_noise,4362,31.7744,31.7339,31.3544,545.926
no_noise,4372,31.7766,31.7415,31.3669,545.927
no_noise,4382,31.7781,31.7433,31.3704,545.93
no_noise,4392,31.7788,31.7436,31.3715,545.933
no_noise,4402,31.7795,31.742,31.3603,545.942
no_noise,4412,31.7752,31.7368,31.3516,545.948
no_noise,4422,31.7803,31.737,31.3606,545.958
no_noise,4432,31.7824,31.7392,31.3629,545.955
no_noise,4442,31.7863,31.739,31.372,545.956
no_noise,4452,31.7821,31.74,31.3577,545.954
no_noise,4462,31.7843,31.7396,31.3678,545.956
no_noise,4472,31.7799,31.7369,31.3449,545.966
no_noise,4482,31.7861,31.7358,31.3521,545.972
no_noise,4492,31.7865,31.728,31.3373,545.979
no_noise,4502,31.7845,31.7289,31.3275,545.982
no_noise,4512,31.7798,31.7298,31.3234,545.99
no_noise,4522,31.7769,31.7312,31.3229,545.991
no_noise,4532,31.7748,31.721,31.3035,545.994
no_noise,4542,31.7726,31.7153,31.3019,545.996
no_noise,4552,31.7709,31.7189,31.3083,546
no_noise,4562,31.7676,31.7158,31.2918,546.005
no_noise,4572,31.7727,31.7138,31.2995,546.002
no_noise,4582,31.7778,31.7167,31.3146,546.01
no_noise,4592,31.7814,31.7173,31.3136,546.008
no_noise,4602,31.7855,31.7184,31.3218,546.019
no_noise,4612,31.7842,31.7224,31.328,546.025
no_noise,4622,31.7839,31.7192,31.3251,546.029
no_noise,4632,31.7787,31.7178,31.3145,546.038
no_noise,4642,31.7811,31.7196,31.3206,546.046
no_noise,4652,31.7786,31.7197,31.3147,546.053
no_noise,4662,31.7767,31.723,31.3194,546.058
no_noise,4672,31.7841,31.7198,31.3249,546.067
no_noise,4682,31.7843,31.7121,31.3259,546.069
no_noise,4692,31.7872,31.715,31.3352,546.077
no_noise,4702,31.7824,31.7138,31.334,546.084
no_noise,4712,31.787,31.718,31.3402,546.082
no_noise,4722,31.7908,31.7072,31.3284,546.084
no_noise,4732,31.7888,31.7107,31.3269,546.091
no_noise,4742,31.7939,31.7087,31.3272,546.1
no_noise,4752,31.7886,31.7085,31.3099,546.109
no_noise,4762,31.7891,31.7161,31.321,546.116
no_noise,4772,31.7877,31.7187,31.3192,546.12
no_noise,4782,31.7902,31.7256,31.3407,546.122
no_noise,4792,31.7888,31.724,31.3358,546.122
no_noise,4802,31.7906,31.7223,31.33,546.131
no_noise,4812,31.7923,31.7291,31.3408,546.137
no_noise,4822,31.7851,31.734,31.3326,546.141
no_noise,4832,31.7847,31.74,31.3376,546.149
no_noise,4842,31.7881,31.7412,31.3633,546.155
no_noise,4852,31.7864,31.7484,31.3727,546.161
no_noise,4862,31.7859,31.7421,31.3573,546.166
no_noise,4872,31.7876,31.7414,31.3582,546.167
no_noise,4882,31.784,31.741,31.3563,546.175
no_noise,4892,31.7878,31.7381,31.3575,546.176
no_noise,4902,31.7891,31.7335,31.3535,546.177
no_noise,4912,31.7847,31.7311,31.351,546.178
no_noise,4922,31.7822,31.727,31.3469,546.185
no_noise,4932,31.7835,31.7279,31.3491,546.189
no_noise,4942,31.7838,31.7217,31.3516,546.196
no_noise,4952,31.7815,31.7224,31.3422,546.196
no_noise,4962,31.7825,31.7282,31.3519,546.199
no_noise,4972,31.7815,31.7259,31.349,546.209
no_noise,4982,31.779,31.7252,31.3393,546.21
no_noise,4992,31.7754,31.7277,31.3341,546.212
no_noise,5002,31.7719,31.7298,31.3218,546.217
no_noise,5012,31.7647,31.7327,31.325,546.224
no_noise,5022,31.7644,31.7297,31.3256,546.225
no_noise,5032,31.7661,31.734,31.3345,546.232
