condition,step,erank_A,erank_B,erank_AB,erank_C
no_noise,1222,30.4804,30.755,27.3294,599.433
no_noise,1232,30.4965,30.7959,27.4988,599.437
no_noise,1242,30.5093,30.8051,27.5939,599.448
no_noise,1252,30.5217,30.8025,27.6561,599.452
no_noise,1262,30.5328,30.8331,27.7898,599.456
no_noise,1272,30.5173,30.8752,27.8611,599.453
no_noise,1282,30.5097,30.9118,27.9932,599.454
no_noise,1292,30.4384,30.9084,27.7116,599.454
no_noise,1302,30.4592,30.9275,27.8319,599.461
no_noise,1312,30.432,30.9677,27.9318,599.466
no_noise,1322,30.4434,30.9442,27.8078,599.468
no_noise,1332,30.4438,30.9718,27.9808,599.471
no_noise,1342,30.4842,30.9374,27.9393,599.475
no_noise,1352,30.4577,30.8821,27.7107,599.474
no_noise,1362,30.5074,30.908,27.9087,599.473
no_noise,1372,30.5358,30.8749,27.8535,599.47
no_noise,1382,30.5567,30.8855,27.9665,599.479
no_noise,1392,30.5372,30.8596,27.821,599.479
no_noise,1402,30.5528,30.884,27.9449,599.474
no_noise,1412,30.4985,30.891,27.7417,599.477
no_noise,1422,30.5276,30.8794,27.8511,599.48
no_noise,1432,30.5466,30.8464,27.7716,599.475
no_noise,1442,30.5236,30.827,27.7303,599.477
no_noise,1452,30.5197,30.7855,27.6681,599.478
no_noise,1462,30.4929,30.7699,27.5241,599.473
no_noise,1472,30.43,30.7164,27.2548,599.484
no_noise,1482,30.3711,30.6179,26.8326,599.48
no_noise,1492,30.3604,30.5604,26.643,599.48
no_noise,1502,30.32,30.5623,26.5907,599.479
no_noise,1512,30.3021,30.5995,26.6493,599.477
no_noise,1522,30.2186,30.5263,26.0655,599.48
no_noise,1532,30.282,30.4358,25.845,599.475
no_noise,1542,30.2179,30.474,25.8234,599.473
no_noise,1552,30.1689,30.5084,25.8311,599.481
no_noise,1562,30.1587,30.5421,25.8477,599.487
no_noise,1572,30.0893,30.5494,25.7032,599.501
no_noise,1582,30.0539,30.5334,25.559,599.505
no_noise,1592,30.0533,30.561,25.7091,599.507
no_noise,1602,30.0807,30.5889,25.8723,599.514
no_noise,1612,30.0846,30.5961,25.9559,599.515
no_noise,1622,30.0999,30.5865,26.034,599.511
no_noise,1632,30.09,30.5796,26.019,599.516
no_noise,1642,30.0848,30.5989,26.1469,599.517
no_noise,1652,30.13,30.6152,26.2765,599.516
no_noise,1662,30.0917,30.6172,26.2701,599.518
no_noise,1672,30.1195,30.586,26.2611,599.528
no_noise,1682,30.1205,30.5699,26.2189,599.536
no_noise,1692,30.1378,30.6349,26.5266,599.54
no_noise,1702,30.1005,30.5369,26.1147,599.542
no_noise,1712,30.1829,30.5525,26.3207,599.552
no_noise,1722,30.2219,30.5311,26.2686,599.556
no_noise,1732,30.1948,30.5506,26.2287,599.555
