condition,step,quantity,bin_idx,bin_low,bin_high,bin_center,count
no_noise,1,B,34,0.0129928,0.014436,0.0137144,469
no_noise,1,B,35,0.014436,0.0158792,0.0151576,474
no_noise,1,B,36,0.0158792,0.0173224,0.0166008,487
no_noise,1,B,37,0.0173224,0.0187656,0.018044,493
no_noise,1,B,38,0.0187656,0.0202088,0.0194872,483
no_noise,1,B,39,0.0202088,0.021652,0.0209304,494
no_noise,1,B,40,0.021652,0.0230952,0.0223736,499
no_noise,1,B,41,0.0230952,0.0245384,0.0238168,470
no_noise,1,B,42,0.0245384,0.0259816,0.02526,489
no_noise,1,B,43,0.0259816,0.0274248,0.0267032,470
no_noise,1,B,44,0.0274248,0.028868,0.0281464,500
no_noise,1,B,45,0.028868,0.0303112,0.0295896,514
no_noise,1,B,46,0.0303112,0.0317544,0.0310328,482
no_noise,1,B,47,0.0317544,0.0331976,0.032476,461
no_noise,1,B,48,0.0331976,0.0346408,0.0339192,505
no_noise,1,B,49,0.0346408,0.036084,0.0353624,482
no_noise,1,C_eff,0,-0.31283,-0.30258,-0.307705,1
no_noise,1,C_eff,1,-0.30258,-0.29233,-0.297455,0
no_noise,1,C_eff,2,-0.29233,-0.28208,-0.287205,0
no_noise,1,C_eff,3,-0.28208,-0.27183,-0.276955,0
no_noise,1,C_eff,4,-0.27183,-0.26158,-0.266705,0
no_noise,1,C_eff,5,-0.26158,-0.25133,-0.256455,0
no_noise,1,C_eff,6,-0.25133,-0.24108,-0.246205,1
no_noise,1,C_eff,7,-0.24108,-0.23083,-0.235955,0
no_noise,1,C_eff,8,-0.23083,-0.22058,-0.225705,1
no_noise,1,C_eff,9,-0.22058,-0.21033,-0.215455,0
no_noise,1,C_eff,10,-0.21033,-0.20008,-0.205205,0
no_noise,1,C_eff,11,-0.20008,-0.18983,-0.194955,1
no_noise,1,C_eff,12,-0.18983,-0.17958,-0.184705,0
no_noise,1,C_eff,13,-0.17958,-0.16933,-0.174455,2
no_noise,1,C_eff,14,-0.16933,-0.15908,-0.164205,10
