trial,learning_rate,transfer_lr,transfer_every,fast_lr,auto_granularity,in_chop_prob,initial_accuracy,final_accuracy,improvement,initial_loss,final_loss,status
0,0.0013292918943162175,1.9063571821788408,24,0.6387926357773329,184.10729205738687,0.015599452033620266,0.4908256880733945,0.573394495412844,0.08256880733944955,2309135.5550458715,0.702018017615747,completed
1,0.00014936568554617635,1.745734676972377,12,0.737265320016441,108.3858126934475,0.09699098521619944,0.4908256880733945,0.5630733944954128,0.07224770642201833,2315573.0871559633,0.6962494265048875,completed
2,0.03142880890840111,0.5034443102887247,1,0.2650640588680905,328.774741399112,0.052475643163223784,0.4908256880733945,0.4919724770642202,0.001146788990825709,2314330.9747706424,4.789967556065376,completed
3,0.0019762189340280074,0.6533353663762795,13,0.22554447458683766,313.57757322577464,0.03663618432936917,0.4908256880733945,0.5091743119266054,0.018348623853210955,2325752.3348623854,0.7286307461764834,completed
4,0.0023345864076016252,1.5918343266467259,1,0.5628109945722505,1015.0667045928578,0.0046450412719997725,0.4908256880733945,0.47706422018348627,-0.01376146788990823,2305066.9334862386,0.7945768576149547,completed
5,0.006647135865318031,0.4239958350058539,1,0.9539969835279999,4370.990468130504,0.08083973481164612,0.4908256880733945,,,2320028.839449541,,pruned
6,0.0008200518402245837,0.2855770166121293,19,0.4961372443656412,161.19044727609193,0.04951769101112702,0.4908256880733945,0.569954128440367,0.07912844036697247,2318205.2339449544,0.6985105112058307,completed
7,0.00012681352169084607,1.8277087639496858,2,0.6962700559185838,338.52267834519796,0.05200680211778108,0.4908256880733945,,,2307965.646788991,,pruned
8,0.004366473592979638,0.45122346549850134,86,0.7976195410250031,3946.2129807590973,0.08948273504276488,0.4908256880733945,0.555045871559633,0.06422018348623854,2317302.8027522936,0.7112605183496388,completed
9,0.00621870472776908,1.851561046543922,1,0.27638457617723067,119.35477742481388,0.032533033076326434,0.4908256880733945,,,2320400.527522936,,pruned
10,0.06845570267272912,1.161816706689188,64,0.44147800190471176,1223.182237474657,0.00387251999611829,0.4908256880733945,,,2316041.4449541285,,pruned
11,0.0005838891112221526,0.9583670288401019,27,0.5160137317835295,194.6744335769055,0.022960433792517124,0.4908256880733945,0.5997706422018348,0.10894495412844035,2302490.0412844038,0.6549219494565911,completed
12,0.00044012212193138316,1.117686101667431,34,0.5876347747627798,234.03650467262403,0.02003232891817793,0.4908256880733945,0.6364678899082569,0.14564220183486237,2323121.669724771,0.6495587382841548,completed
