figure_id,run_tag,layer_name,layer_idx,sublayer,variant,dac_bits,adc_bits,inp_bound,inp_res,res_ratio,step_size,nm_thres,sto_round,EZR,QZR_all,QZR_nonzero,ODR,cosine_sim,l2_retention,rel_l2_error,clip_rate_scaled,ratio_q50,ratio_q90,ratio_q99,p_clip,absmax_q50,absmax_q90,absmax_q99,absmax_q999,EZR_pad,QZR_all_pad
C,v3,bert.encoder.layer.6.intermediate.dense,6,FFN1,p99_clip,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,0.001020735141064506,0.4466979540884495,0.4461326986551285,106.23742050170898,0.9977931639552117,1.0019166892766953,0.06459786526858807,0.0,0.010025360453873873,0.06166223781183362,0.33243125304579735,0.0,2.1958665347483474e-05,0.00010942991819320014,0.0007868661145039368,0.0019245860504452138,0.5575446285307407,0.7550586637854576
C,v3,bert.encoder.layer.6.output.dense,6,FFN2,p99_clip,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,0.10000455368310213,0.1214984017983079,0.02388219317421317,6.400903713703156,0.9998558267951012,1.0001446628570556,0.016771797258406877,0.0,0.15791923195123672,0.44721909254789355,0.756482937335968,0.0,1.9833921001009003e-05,0.00010252684700390091,0.0008171628862328362,0.002615576632670127,0.10000861328095198,0.12843587853014468
C,v3,bert.encoder.layer.6.attention.self.key,6,K,p99_clip,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,0.0,0.23056146569550037,0.23056146569550037,48.18331169128418,0.9992145702242852,1.0007419896125793,0.038564755842089654,0.0,0.02845630418509245,0.17906828425824642,0.5321676775813102,0.0,1.2486424761846138e-05,7.089151851687348e-05,0.00037413359474157914,0.0007881265702599194,0.557091471850872,0.6591798454523087
C,v3,bert.encoder.layer.6.attention.output.dense,6,O,p99_clip,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,0.09999978546053172,0.13110986173152925,0.034566764794290064,9.256390080451965,0.999666059911251,1.0003378075361251,0.02318863783031702,0.0,0.11657880559563637,0.3843373402953148,0.7027340880036355,0.0,2.698880064599507e-05,0.0001542816207074793,0.0011718423353158868,0.003283648957731202,0.09998952955007553,0.13438173241913318
C,v3,bert.encoder.layer.6.attention.self.query,6,Q,p99_clip,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,3.475929872820416e-09,0.17534392841160298,0.17534392558038234,30.690480089187623,0.9993284785747528,1.000649784207344,0.035420064255595206,0.0,0.040666176080703734,0.2085240000486374,0.5712397119402886,0.0,7.055223679799383e-06,3.469530039183155e-05,0.0002455295880645281,0.0008593784042750485,0.5570914740860462,0.6347902496159077
C,v3,bert.encoder.layer.6.attention.self.value,6,V,p99_clip,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,4.617316733401822e-09,0.14395735420286657,0.14395735025405884,26.610055055618286,0.9995766523480415,1.0004154539108276,0.02843546527437866,0.0,0.04879528131335974,0.27035934016108515,0.6713261407613754,0.0,1.2340681382738695e-05,6.69785318132199e-05,0.0007483897090423853,0.001196243340091314,0.5570914739370346,0.6208387500047684
C,v3,bert.encoder.layer.7.intermediate.dense,7,FFN1,p99_clip,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,0.0008541084302123636,0.43922242254018784,0.43874314799904823,106.23714561462403,0.9972786480188369,1.002349668741226,0.07124343935400247,0.0,0.010184495956636966,0.05835466654971242,0.30912225008010863,0.0,2.4190837420974277e-05,0.00012082796296454034,0.0009094189367897343,0.002350846808985807,0.5574702760577201,0.751743081510067
C,v3,bert.encoder.layer.7.output.dense,7,FFN2,p99_clip,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,0.0999862352013588,0.12062575489282608,0.02293244852684438,6.16039787530899,0.9998642170429229,1.0001354187726974,0.01631493750959635,0.0,0.16380392417311668,0.45784310638904574,0.7641556259989738,0.0,1.9619393096945714e-05,9.613890553737292e-05,0.0009091227137832902,0.00312371842446737,0.09999858923256397,0.12573799539357425
C,v3,bert.encoder.layer.7.attention.self.key,7,K,p99_clip,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,1.0123661979832832e-08,0.29452314108610156,0.29452313378453254,66.03724201202392,0.9991526526212692,1.0007649648189545,0.04016117298975587,0.0,0.021366761047393084,0.16186570405960082,0.5146185463666916,0.0,1.101666546674096e-05,7.066113359542214e-05,0.0003822903761465568,0.0008732860440795776,0.5570914760231972,0.6875303158164024
C,v3,bert.encoder.layer.7.attention.output.dense,7,O,p99_clip,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,0.1000266483798623,0.12534209482371808,0.028129111593589187,7.544458994865417,0.9997861963510514,1.0002195864915848,0.019530965369194745,0.0,0.1372709545493126,0.41401594936847685,0.7268024072051048,0.0,2.3305425766011468e-05,0.00012020368427329231,0.0010736204707063734,0.0031999740691389888,0.09999932676553726,0.12952532403171063
C,v3,bert.encoder.layer.7.attention.self.query,7,Q,p99_clip,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,0.0,0.20599226146936417,0.20599226146936417,32.096305980682374,0.9994178959727287,1.0005534619092942,0.033249173555523155,0.0,0.03705161822959781,0.2172002387791872,0.5913892990350723,0.0,5.638191059915698e-06,2.6114059555766288e-05,0.00020721600241813576,0.0007474361210188363,0.557091471850872,0.6482789908349514
C,v3,bert.encoder.layer.7.attention.self.value,7,V,p99_clip,7,9,1.0,0.007936507936507936,0.007936507936507936,0.015873015873015872,0.0,False,0.0,0.1976622960716486,0.1976622960716486,38.14999351501465,0.9995311245322227,1.0004504334926605,0.029999286169186234,0.0,0.03529795655980706,0.2453662569075823,0.6641838651895523,0.0,1.2927303073411167e-05,7.698076078668236e-05,0.0008613905461970717,0.0013056831253925338,0.557091471850872,0.6445951414108276
