figure_id,run_tag,layer_name,layer_idx,sublayer,variant,dac_bits,adc_bits,inp_bound,inp_res,res_ratio,step_size,nm_thres,sto_round,EZR,QZR_all,QZR_nonzero,ODR,cosine_sim,l2_retention,rel_l2_error,clip_rate_scaled,ratio_q50,ratio_q90,ratio_q99,p_clip,absmax_q50,absmax_q90,absmax_q99,absmax_q999,EZR_pad,QZR_all_pad
B,v3,bert.encoder.layer.0.intermediate.dense,0,FFN1,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.4133168640732765,0.877526199221611,0.7912538731098175,143263.573359375,0.9499023121595382,1.0262002420425416,0.3176429009437561,0.0,0.001311860563000664,0.08554539784789085,0.3336565977334976,1.0771701681733248e-08,0.0017261205503018573,0.006803374842274934,0.04084441401064396,0.19089973360300064,0.3919467058777809,0.90418616771698
B,v3,bert.encoder.layer.0.output.dense,0,FFN2,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.10001674696803092,0.3098334503173828,0.23313365995883942,7.058125019073486,0.9883022117614746,1.0117674100399017,0.15226950585842133,0.0,0.1480975306034088,0.44674221813678744,0.7632909023761749,8.617361686447112e-09,0.0012247702275635674,0.004517098830547184,0.02695871933363378,0.1088310706242919,0.09997862167656421,0.3102265802025795
B,v3,bert.encoder.layer.0.attention.self.key,0,K,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,1.7802058209781535e-08,0.6594280409812927,0.6594280350208283,35.88913288116455,0.9648709058761596,1.021474951505661,0.26403388142585754,0.0,0.040340964421629905,0.21028057873249054,0.600112270116806,0.0,0.0017019924387568607,0.007514796834439039,0.037034880463033916,0.1293644470348954,0.5496744871139526,0.8467536377906799
B,v3,bert.encoder.layer.0.attention.output.dense,0,O,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.10000756338238716,0.3079151949286461,0.23101052939891814,6.979214363098144,0.9873391377925873,1.0128486931324006,0.15770151659846307,0.0,0.1470487329363823,0.4341430187225342,0.7495387768745423,7.238583930302411e-07,0.0023864957503974436,0.008733195583336056,0.06149544678628445,0.2809510296583176,0.09999373577535152,0.3116226300597191
B,v3,bert.encoder.layer.0.attention.self.query,0,Q,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,1.8441780891862436e-05,0.49969051897525785,0.49968130320310594,14.779028081893921,0.9638225990533829,1.0312058961391448,0.26763827800750734,0.0,0.07150727473199367,0.25248416647315025,0.6018804442882538,8.617361686447112e-09,0.0006739107554312795,0.002702863308368251,0.021400893740355968,0.13347041245549918,0.0002612347108879476,0.5047320175170898
B,v3,bert.encoder.layer.0.attention.self.value,0,V,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,8.261949915322476e-09,0.5884897136688232,0.5884897100925446,24.567099208831788,0.9657015550136566,1.0246424245834351,0.26085539266467095,0.0,0.053562227748334405,0.23714866369962692,0.611926234960556,2.536441400025069e-08,0.0031984552019275725,0.012598894936963916,0.0625888722576201,0.19890203669667245,0.5496744832396507,0.8148785257339477
B,v3,bert.encoder.layer.1.intermediate.dense,1,FFN1,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.4298724529147148,0.880343245267868,0.7901519572734833,155224.397890625,0.9568670260906219,1.0269767463207244,0.2931358155608177,0.0,0.0002727029151719762,0.08691689103841782,0.35347319692373275,2.3719344710571022e-08,0.0012748561071930452,0.00493894413812086,0.03607264090329409,0.216779390797019,0.43779260277748105,0.8838716745376587
B,v3,bert.encoder.layer.1.output.dense,1,FFN2,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.10003769025206566,0.31454609721899035,0.23835276663303376,7.300236616134644,0.987842189669609,1.0119695258140564,0.1537885309755802,0.0,0.14662484779953958,0.4473163852095604,0.7634610658884049,0.0,0.0009233566981856711,0.0034268013876862825,0.02211417930200696,0.11454082310199737,0.10003171816468238,0.32167056053876875
B,v3,bert.encoder.layer.1.attention.self.key,1,K,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,8.27770691103069e-09,0.7557423394918442,0.7557423377037048,49.01501533508301,0.9584988069534301,1.0206270468235017,0.28735501050949097,0.0,0.026658050809055568,0.15271541729569435,0.5510721629858018,0.0,0.0012753668829100207,0.0054160960391163825,0.022581881769001486,0.0689931091107428,0.5496744832396507,0.8900528079271317
B,v3,bert.encoder.layer.1.attention.output.dense,1,O,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.09996547020971774,0.30631375312805176,0.22926701366901397,6.930998854637146,0.9874081516265869,1.0126096546649932,0.15675200894474983,0.0,0.14862286612391473,0.4369040784239769,0.7514787983894348,3.448672782724316e-07,0.0014956015977077187,0.005544603592716158,0.04996404802426696,0.27293659165501594,0.09998981572687626,0.31789580851793287
