layer_name,layer_idx,sublayer,nm_thres,ODR_mean,QZR_mean,CCR_mean,absmax_q50,absmax_q99,absmax_q999
bert.encoder.layer.0.attention.self.key,0,K,0.0003461597370915115,10.27428273677826,0.6064069075882434,0.001080729195236927,0.0,0.00013266419409774244,0.00035532398032955825
bert.encoder.layer.0.attention.output.dense,0,O,0.0003461597370915115,6.12268691778183,0.12045884303748608,0.01124186230590567,9.620892342354637e-06,0.0003756029182113707,0.0022530180867761374
bert.encoder.layer.0.attention.self.query,0,Q,0.0003461597370915115,16.348986439704895,0.09026922732591629,0.0013785807667591144,2.9932341476524016e-06,0.00010830762039404362,0.00038755571586079895
bert.encoder.layer.0.attention.self.value,0,V,0.0003461597370915115,8.67009979724884,0.596952510625124,0.007156575728440657,0.0,0.0002811600570566952,0.0007585739949718118
bert.encoder.layer.1.attention.self.key,1,K,0.0003461597370915115,13.103532681465149,0.6219439259171486,0.003478190187452128,0.0,0.00019287665782030672,0.0005714023718610406
bert.encoder.layer.1.attention.output.dense,1,O,0.0003461597370915115,6.365795903205871,0.12114238824695349,0.01277669303584844,1.2591986887855455e-05,0.000418705923948437,0.0025281652342528105
bert.encoder.layer.1.attention.self.query,1,Q,0.0003461597370915115,22.18302306175232,0.12940807107836008,0.004112955838209018,5.1914194045821205e-06,0.0001790772075764835,0.0007475383463315666
bert.encoder.layer.1.attention.self.value,1,V,0.0003461597370915115,11.499240188598632,0.6132279448211193,0.008369140876457095,0.0,0.00030000851256772876,0.0013130172155797482
bert.encoder.layer.2.attention.self.key,2,K,0.0003461597370915115,14.811655158996581,0.638323323726654,0.002444661536574131,0.0,0.00017089613538701087,0.0004863155190832913
bert.encoder.layer.2.attention.output.dense,2,O,0.0003461597370915115,7.362482690811158,0.12464611161500215,0.013536784215830266,8.95948051038431e-06,0.00043481754255481064,0.0031855746638029814
bert.encoder.layer.2.attention.self.query,2,Q,0.0003461597370915115,28.765819635391235,0.2027752961218357,0.0027620443422347305,4.0986160456668586e-06,0.00014235590060707182,0.0005443127593025565
bert.encoder.layer.2.attention.self.value,2,V,0.0003461597370915115,13.209524230957031,0.6194615818560123,0.011271159159950911,0.0,0.0003865468315780163,0.0010974305914714932
bert.encoder.layer.3.attention.self.key,3,K,0.0003461597370915115,12.542192072868348,0.6218960250914097,0.002752278730040416,0.0,0.00019559224892873317,0.0004861979396082461
bert.encoder.layer.3.attention.output.dense,3,O,0.0003461597370915115,11.723055830001831,0.13818800784647464,0.02991699308156967,1.205122589453822e-05,0.0009853377705439925,0.008452173322439194
bert.encoder.layer.3.attention.self.query,3,Q,0.0003461597370915115,20.74458395957947,0.12502744603902102,0.0025276693449995946,2.5516342248010915e-06,0.00011762051144614816,0.0005334706511348486
bert.encoder.layer.3.attention.self.value,3,V,0.0003461597370915115,11.149449996948242,0.6109551437199116,0.014314779061824084,0.0,0.00044047110714018345,0.000994380796328187
bert.encoder.layer.4.attention.self.key,4,K,0.0003461597370915115,16.726416921615602,0.6422204686701298,0.0046223959582857785,0.0,0.0002431935427011922,0.000588496564887464
bert.encoder.layer.4.attention.output.dense,4,O,0.0003461597370915115,9.34006516456604,0.1308696784824133,0.02302571672014892,8.853141480358317e-06,0.0006879003485664725,0.005834986921399832
bert.encoder.layer.4.attention.self.query,4,Q,0.0003461597370915115,18.88338849067688,0.10871738944202662,0.0032356771640479564,2.2355657165462617e-06,0.0001345423370366916,0.0006116193835623562
bert.encoder.layer.4.attention.self.value,4,V,0.0003461597370915115,11.036208939552306,0.6147670429944992,0.009485677429474891,0.0,0.00032696613925509155,0.0011584414169192314
bert.encoder.layer.5.attention.self.key,5,K,0.0003461597370915115,16.09416624546051,0.6443735061585903,0.0045328777248505505,0.0,0.00024776114150881767,0.0005865497514605522
bert.encoder.layer.5.attention.output.dense,5,O,0.0003461597370915115,8.807116661071777,0.12926058679819108,0.022651367825455963,8.745926606934518e-06,0.0006186876562424004,0.004135719500482082
