layer_name,layer_idx,sublayer,nm_thres,ODR_mean,QZR_mean,CCR_mean,absmax_q50,absmax_q99,absmax_q999
bert.encoder.layer.0.attention.self.key,0,K,0.0,10.240212020874024,0.6063497479259968,0.0,0.0,0.00013453108840622008,0.00036688760155811906
bert.encoder.layer.0.attention.output.dense,0,O,0.0,6.129813141822815,0.12063135650008917,0.0,1.032442378345877e-05,0.00038399454206228256,0.0017968077445402741
bert.encoder.layer.0.attention.self.query,0,Q,0.0,16.337053389549254,0.0898617646098137,0.0,3.1361469154944643e-06,0.00011118334805360064,0.00040398669079877436
bert.encoder.layer.0.attention.self.value,0,V,0.0,8.740535070896149,0.5979693895578384,0.0,0.0,0.0002860912645701319,0.0007719863788224757
bert.encoder.layer.1.attention.self.key,1,K,0.0,13.115968508720398,0.622048339098692,0.0,0.0,0.00019653639174066484,0.0006201602518558502
bert.encoder.layer.1.attention.output.dense,1,O,0.0,6.345323851108551,0.1212487206980586,0.0,1.3155599845049437e-05,0.0004237903340253979,0.0018831436755135655
bert.encoder.layer.1.attention.self.query,1,Q,0.0,22.066128644943237,0.12895379293709994,0.0,5.375601176638156e-06,0.00018498463032301515,0.0007645905134268105
bert.encoder.layer.1.attention.self.value,1,V,0.0,11.557078227996826,0.6140122449398041,0.0,0.0,0.0003073826082982123,0.0013402648037299514
bert.encoder.layer.2.attention.self.key,2,K,0.0,14.760005474090576,0.6378069972991943,0.0,0.0,0.00017246844072360545,0.0004996582865715027
bert.encoder.layer.2.attention.output.dense,2,O,0.0,7.312296102046966,0.12471755027770996,0.0,9.050134394783527e-06,0.0004090935690328479,0.0018815542571246624
bert.encoder.layer.2.attention.self.query,2,Q,0.0,29.42184151649475,0.2056937699764967,0.0,4.371191153040854e-06,0.0001458855258533731,0.0005550588830374181
bert.encoder.layer.2.attention.self.value,2,V,0.0,13.293085541725159,0.6208289343118668,0.0,0.0,0.00038872624281793833,0.0011256032157689333
bert.encoder.layer.3.attention.self.key,3,K,0.0,12.538240752220155,0.6220419597625733,0.0,0.0,0.0002002588880714029,0.000491004844661802
bert.encoder.layer.3.attention.output.dense,3,O,0.0,11.802677593231202,0.13978261031210423,0.0,1.2840513591072522e-05,0.0007586987339891493,0.003597982693463564
bert.encoder.layer.3.attention.self.query,3,Q,0.0,20.924437341690062,0.12560371086001396,0.0,2.654925538081443e-06,0.0001206914457725361,0.000542042835149914
bert.encoder.layer.3.attention.self.value,3,V,0.0,11.201264777183532,0.612238071411848,0.0,0.0,0.0004458825569599867,0.0010050180135294795
bert.encoder.layer.4.attention.self.key,4,K,0.0,16.721850666999817,0.6425889962911606,0.0,0.0,0.0002476807567290962,0.000603739230427891
bert.encoder.layer.4.attention.output.dense,4,O,0.0,9.32012626171112,0.1314417665451765,0.0,9.075962225324474e-06,0.0006171017303131521,0.003246947890147567
bert.encoder.layer.4.attention.self.query,4,Q,0.0,19.115208292007445,0.11006157625466585,0.0,2.356545337534044e-06,0.00013747165212407708,0.000612507457844913
bert.encoder.layer.4.attention.self.value,4,V,0.0,11.054489719867707,0.6152615147829056,0.0,0.0,0.000330702168866992,0.0011772091966122389
bert.encoder.layer.5.attention.self.key,5,K,0.0,16.163608222007753,0.6450530757009983,0.0,0.0,0.0002482175186742097,0.0005948589532636106
bert.encoder.layer.5.attention.output.dense,5,O,0.0,8.811617770195006,0.12971300952136516,0.0,8.848663128446788e-06,0.0005963151343166828,0.0031500898767262697
bert.encoder.layer.5.attention.self.query,5,Q,0.0,21.940649452209474,0.1471678901463747,0.0,2.069374431812321e-06,0.00013953205780126154,0.0006727467989549041
bert.encoder.layer.5.attention.self.value,5,V,0.0,10.720975184440613,0.6193227203190327,0.0,0.0,0.00043214246397837996,0.001231467816978693
bert.encoder.layer.6.attention.self.key,6,K,0.0,18.4649871301651,0.6499343229830266,0.0,0.0,0.0003011393127962947,0.0007851982954889536
bert.encoder.layer.6.attention.output.dense,6,O,0.0,7.174754750728607,0.12416055325418711,0.0,6.532284714921843e-06,0.0005079368129372597,0.0027598037850111723
bert.encoder.layer.6.attention.self.query,6,Q,0.0,23.565401458740233,0.1426019198447466,0.0,2.142820903827669e-06,0.00015130898100323975,0.0007731474470347166
bert.encoder.layer.6.attention.self.value,6,V,0.0,10.953313028812408,0.6165713532269002,0.0,0.0,0.0004919446655549109,0.0012724056141451001
bert.encoder.layer.7.attention.self.key,7,K,0.0,25.835419292449952,0.6776733732223511,0.0,0.0,0.0003127871314063668,0.0008533378131687641
bert.encoder.layer.7.attention.output.dense,7,O,0.0,6.431472325325013,0.12161023736000061,0.0,5.739612788602244e-06,0.0005112078506499529,0.0026726440992206335
bert.encoder.layer.7.attention.self.query,7,Q,0.0,24.460771322250366,0.16591205559670924,0.0,1.9813071503449464e-06,9.635253809392452e-05,0.0007220017141662538
bert.encoder.layer.7.attention.self.value,7,V,0.0,15.48310990333557,0.6378063100576401,0.0,0.0,0.0005970561178401113,0.0013221227563917637
bert.encoder.layer.8.attention.self.key,8,K,0.0,20.353817625045778,0.6581437246501446,0.0,0.0,0.00033447626628912985,0.000818004715256393
bert.encoder.layer.8.attention.output.dense,8,O,0.0,6.191592829227448,0.12075981639325618,0.0,5.831535418110434e-06,0.00047799566527828574,0.003066585399210453
bert.encoder.layer.8.attention.self.query,8,Q,0.0,24.123439445495606,0.1479626988619566,0.0,2.3908307866804535e-06,0.00016288520419038832,0.0012323966948315501
bert.encoder.layer.8.attention.self.value,8,V,0.0,11.191558783054353,0.61481451228261,0.0,0.0,0.0004181622061878443,0.0015163628850132227
bert.encoder.layer.9.attention.self.key,9,K,0.0,21.40725121498108,0.6632837317883968,0.0,0.0,0.0003099454042967409,0.0007881430210545659
bert.encoder.layer.9.attention.output.dense,9,O,0.0,6.025772867202758,0.12020855262875557,0.0,6.297184427239699e-06,0.000243215195951052,0.003291195956990123
bert.encoder.layer.9.attention.self.query,9,Q,0.0,16.471935272216797,0.09778766080737114,0.0,1.7119797348641441e-06,8.453440386801958e-05,0.0009812379721552134
bert.encoder.layer.9.attention.self.value,9,V,0.0,13.0672199010849,0.6247409902513027,0.0,0.0,0.0004912026925012469,0.0014158328995108604
bert.encoder.layer.10.attention.self.key,10,K,0.0,21.6091711807251,0.6642865516245365,0.0,0.0,0.00021602919150609523,0.0006598929176107049
