layer_name,layer_idx,sublayer,variant,dac_bits,EZR_mean,QZR_all_mean,QZR_nonzero_mean,ODR_mean,cosine_sim,ratio_q50,ratio_q90,ratio_q99,EZR_pad_mean,QZR_all_pad_mean,CCR
bert.encoder.layer.3.attention.self.query,3,Q,dac8bit,8,4.617316733401822e-09,0.053390917591750624,0.053390913233160975,18.048683338165283,0.9998769080638885,0.060623506102710965,0.25279719568789005,0.6176087570190429,6.357828823411182e-09,0.06625185322016477,
bert.encoder.layer.3.attention.self.value,3,V,dac8bit,8,0.0,0.0668940201215446,0.0668940201215446,25.41129846572876,0.9998817059397698,0.05314228480681777,0.26269296631217004,0.6519854894280434,0.557091471850872,0.5867674818634987,
bert.encoder.layer.4.attention.self.key,4,K,dac8bit,8,0.0,0.10757052004337311,0.10757052004337311,38.339205780029296,0.9998217695951461,0.03391238626092672,0.19583824299275876,0.560275311768055,0.557091471850872,0.6048394991457462,
bert.encoder.layer.4.attention.output.dense,4,O,dac8bit,8,0.09994549728929997,0.11502758502960204,0.01675685725174844,9.080089426040649,0.99991863489151,0.1197802909091115,0.39370446860790254,0.7120507085323333,0.0999625489488244,0.1155529135838151,
bert.encoder.layer.4.attention.self.query,4,Q,dac8bit,8,4.346072444150195e-09,0.06445606917142868,0.06445606511086226,22.199863605499267,0.9998607310652733,0.05149239486083388,0.23145845517516137,0.5921569222211838,1.0596381372351971e-08,0.056866872888058424,
bert.encoder.layer.4.attention.self.value,4,V,dac8bit,8,0.0,0.07055118130519986,0.07055118130519986,25.295700063705443,0.9998886632919312,0.0513830054178834,0.26588912844657897,0.659186455309391,0.557091471850872,0.5884063267707824,
bert.encoder.layer.5.attention.self.key,5,K,dac8bit,8,5.7108917417281195e-09,0.11381825547665357,0.11381825041025877,37.205490036010744,0.9998361593484879,0.034173158006742595,0.20056091241538523,0.5713874262571335,0.5570914739370346,0.6075884166359902,
bert.encoder.layer.5.attention.output.dense,5,O,dac8bit,8,0.10001402847468853,0.11453923977911472,0.01613937207031995,8.752798767089844,0.9999260646104813,0.12179155986756086,0.3936112631857395,0.7115532979369164,0.09999115288257598,0.11474618140608073,
bert.encoder.layer.5.attention.self.query,5,Q,dac8bit,8,0.0,0.10124445904046298,0.10124445904046298,27.564656496047974,0.9998498865962029,0.043833059016615154,0.22591884799301623,0.5898049798607826,1.0596381372351971e-08,0.08681370731443167,
bert.encoder.layer.5.attention.self.value,5,V,dac8bit,8,4.468371059829223e-09,0.0773447435349226,0.07734473943710327,24.620364665985107,0.9998996242880821,0.05184898566454649,0.27876108601689337,0.6740219837427139,0.5570914742350578,0.5914000268280506,
bert.encoder.layer.6.attention.self.key,6,K,dac8bit,8,5.7108917417281195e-09,0.11998132824897766,0.11998132321983576,42.88588048934937,0.9998088243603707,0.031165282763540744,0.1851846120506525,0.5382787424325943,0.5570914739370346,0.6103047305345535,
bert.encoder.layer.6.attention.output.dense,6,O,dac8bit,8,0.0999997753277421,0.11225954223424196,0.01362195692025125,7.389423143863678,0.9999497497081756,0.13993111476302147,0.4200926239788532,0.7333194917440414,0.09998952530324459,0.11191682066768407,
bert.encoder.layer.6.attention.self.query,6,Q,dac8bit,8,0.0,0.10310881461948157,0.10310881461948157,31.941935510635375,0.9998269021511078,0.039699092824012044,0.205774936825037,0.5689030489325524,0.0,0.08050446256995201,
bert.encoder.layer.6.attention.self.value,6,V,dac8bit,8,0.0,0.07189023450016975,0.07189023450016975,25.084116525650025,0.9998966878652573,0.051271094232797625,0.2732973104715347,0.6715890169143677,0.557091471850872,0.5889690142869949,
bert.encoder.layer.7.attention.self.key,7,K,dac8bit,8,0.0,0.16390022136270999,0.16390022136270999,59.59940784454346,0.9997852292656898,0.023611509213224052,0.16640743292868138,0.5185605579614639,0.557091471850872,0.6298251827061176,
bert.encoder.layer.7.attention.output.dense,7,O,dac8bit,8,0.1000266433879733,0.11103481322526931,0.012231664136052131,6.638653514385223,0.9999604564905167,0.1533530730754137,0.4407660372555256,0.7499278086423874,0.09999932464212179,0.11073325984179974,
bert.encoder.layer.7.attention.self.query,7,Q,dac8bit,8,4.811838039131544e-09,0.12697305850684643,0.1269730543345213,32.594415435791014,0.9998548346757888,0.03655906870961189,0.21815079778432847,0.5943580546975136,2.119276274470394e-09,0.09785131748765707,
bert.encoder.layer.7.attention.self.value,7,V,dac8bit,8,0.0,0.10067974656820297,0.10067974656820297,35.44004300117493,0.9998849219083786,0.038370788544416425,0.2499927355349064,0.6653256013989448,0.557091471850872,0.6017271992564202,
bert.encoder.layer.8.attention.self.key,8,K,dac8bit,8,5.507966989171109e-09,0.1314811509102583,0.1314811460673809,46.51933717727661,0.9998165196180344,0.02876726704649627,0.1853947254270315,0.5532340320944786,0.5570914739370346,0.6153876876831055,
bert.encoder.layer.8.attention.output.dense,8,O,dac8bit,8,0.09997232139110565,0.11044241946190596,0.01163308555725962,6.315183448791504,0.9999647843837738,0.1601019438356161,0.45108913496136666,0.7583041366934776,0.09997646424919367,0.11030619155615567,
bert.encoder.layer.8.attention.self.query,8,Q,dac8bit,8,4.755600286898698e-09,0.0992314724996686,0.09923146821558476,30.051092309951784,0.9998096278309823,0.04233408570289612,0.20782991237938403,0.5540415874123573,6.357828823411182e-09,0.07950131811201572,
bert.encoder.layer.8.attention.self.value,8,V,dac8bit,8,0.0,0.06946979774162174,0.06946979774162174,25.47221607208252,0.9998942202329636,0.051947698835283516,0.27134155109524727,0.6690525487065315,0.557091471850872,0.5878869150578976,
bert.encoder.layer.9.attention.self.key,9,K,dac8bit,8,0.0,0.14429774634540082,0.14429774634540082,49.15998212814331,0.9998425671458244,0.029112555468454957,0.20289610289037227,0.5948008343577385,0.557091471850872,0.6211619193851948,
bert.encoder.layer.9.attention.output.dense,9,O,dac8bit,8,0.10000381730496884,0.11000034015625715,0.011107293530367315,6.036399068832398,0.9999679851531983,0.1669336088001728,0.46340016573667525,0.7686593070626259,0.10000120654702187,0.11005585864186287,
bert.encoder.layer.9.attention.self.query,9,Q,dac8bit,8,0.0,0.062034137230366465,0.062034137230366465,20.15751408576965,0.9998766461014748,0.05784883495420218,0.2524615203589201,0.6116996440291405,0.0,0.05091556387022138,
