layer_idx,sublayer,io_bits
0,FFN1,12
0,FFN2,8
0,K,11
0,O,8
0,Q,10
0,V,10
1,FFN1,12
1,FFN2,8
1,K,11
1,O,8
1,Q,11
1,V,11
2,FFN1,12
2,FFN2,9
2,K,12
2,O,8
2,Q,12
2,V,12
3,FFN1,12
3,FFN2,9
3,K,11
3,O,9
3,Q,11
3,V,11
4,FFN1,12
4,FFN2,8
4,K,12
4,O,9
4,Q,11
4,V,11
5,FFN1,12
5,FFN2,8
5,K,12
5,O,9
5,Q,12
5,V,11
6,FFN1,12
6,FFN2,8
6,K,12
6,O,9
6,Q,12
6,V,11
7,FFN1,12
7,FFN2,8
7,K,12
7,O,8
7,Q,12
7,V,12
8,FFN1,12
8,FFN2,8
8,K,12
8,O,8
8,Q,12
8,V,11
9,FFN1,12
9,FFN2,8
9,K,12
9,O,8
9,Q,11
9,V,12
10,FFN1,12
10,FFN2,8
10,K,12
10,O,8
10,Q,11
10,V,12
11,FFN1,12
11,FFN2,8
11,K,12
11,O,8
11,Q,12
11,V,12
