layer_idx,sublayer,io_bits
0,FFN1,12
0,FFN2,9
0,K,12
0,O,9
0,Q,11
0,V,11
1,FFN1,12
1,FFN2,9
1,K,12
1,O,9
1,Q,12
1,V,12
2,FFN1,12
2,FFN2,9
2,K,12
2,O,9
2,Q,12
2,V,12
3,FFN1,12
3,FFN2,9
3,K,12
3,O,10
3,Q,11
3,V,12
4,FFN1,12
4,FFN2,9
4,K,12
4,O,10
4,Q,12
4,V,12
5,FFN1,12
5,FFN2,9
5,K,12
5,O,10
5,Q,12
5,V,12
6,FFN1,12
6,FFN2,9
6,K,12
6,O,9
6,Q,12
6,V,12
7,FFN1,12
7,FFN2,9
7,K,12
7,O,9
7,Q,12
7,V,12
8,FFN1,12
8,FFN2,9
8,K,12
8,O,9
8,Q,12
8,V,12
9,FFN1,12
9,FFN2,9
9,K,12
9,O,9
9,Q,12
9,V,12
10,FFN1,12
10,FFN2,9
10,K,12
10,O,9
10,Q,12
10,V,12
11,FFN1,12
11,FFN2,9
11,K,12
11,O,9
11,Q,12
11,V,12
