layer_idx,sublayer,bits,QZR_nonzero,WQZR_body,sign_agree_nonzero,raw_cosine_sim,raw_rel_l2_error,trimmed_rel_l2_p90,trimmed_cosine_p90,trimmed_rel_l2_p99,trimmed_cosine_p99,trimmed_rel_l2_p999,trimmed_cosine_p999
0,FFN1,4,0.9487058572890834,0.5555769205093384,0.051294142710916577,0.9466853141784668,0.32464832067489624,0.9985290169715881,0.01898951455950737,0.6026102900505066,0.8092535138130188,0.3946579694747925,0.9203872680664062
0,FFN1,5,0.8842138099374355,0.3835175931453705,0.11578619006256448,0.9765941500663757,0.21485863626003265,0.9218450784683228,0.3044733703136444,0.4093330502510071,0.9109758138656616,0.262381911277771,0.9645159244537354
0,FFN1,6,0.7626571762092484,0.2149365395307541,0.23734282379075156,0.9912496209144592,0.13056519627571106,0.6725184321403503,0.715864896774292,0.25524646043777466,0.9642889499664307,0.1607818603515625,0.9863448143005371
0,FFN1,7,0.6100400907068184,0.09792064875364304,0.38995990929318164,0.9972960948944092,0.07199754565954208,0.39228272438049316,0.9166372418403625,0.1428622007369995,0.9883040189743042,0.08913163095712662,0.9956854581832886
0,FFN1,8,0.466800978809702,0.03956292197108269,0.5331990211902979,0.9992427229881287,0.037930816411972046,0.21019260585308075,0.9743785858154297,0.07572069019079208,0.9966177344322205,0.04705582559108734,0.9987790584564209
0,FFN1,9,0.34992727588616296,0.015142587944865227,0.650072724113837,0.9997965097427368,0.019617822021245956,0.10979501903057098,0.9926375150680542,0.03929290920495987,0.9990749359130859,0.024364173412322998,0.9996700286865234
0,FFN1,10,0.25999514397192774,0.005647392012178898,0.7400048560280722,0.9999465942382812,0.010036220774054527,0.05647875368595123,0.9980111122131348,0.02013697475194931,0.9997552037239075,0.012471949681639671,0.999913215637207
0,FFN1,11,0.1928888305659294,0.00208466243930161,0.8071111694340706,0.9999861717224121,0.00509957130998373,0.028801897540688515,0.999477744102478,0.01024298369884491,0.9999363422393799,0.006339630112051964,0.9999774694442749
0,FFN1,12,0.14330175738645265,0.000771817984059453,0.8566982426135473,0.9999964833259583,0.0025803958997130394,0.014608753845095634,0.9998650550842285,0.0051846010610461235,0.9999836683273315,0.003208530368283391,0.9999942779541016
0,FFN2,4,0.201485699348991,0.03232317045331001,0.798514300651009,0.9894949197769165,0.14481587707996368,0.18913647532463074,0.982265830039978,0.15199869871139526,0.9884195923805237,0.14621707797050476,0.989284098148346
0,FFN2,5,0.094854096976676,0.007135646417737007,0.905145903023324,0.9976826310157776,0.06755601614713669,0.08830186724662781,0.9960383176803589,0.07090388983488083,0.9974420070648193,0.06820966303348541,0.9976352453231812
0,FFN2,6,0.04608493848441711,0.0016772968228906393,0.9539150615155829,0.9994553923606873,0.032700274139642715,0.04273261874914169,0.999066948890686,0.03432298079133034,0.9993984699249268,0.03301674872636795,0.9994442462921143
0,FFN2,7,0.022800857650503888,0.00040883285691961646,0.9771991423494961,0.9998681545257568,0.016089482232928276,0.0210250336676836,0.9997740387916565,0.016887526959180832,0.9998543858528137,0.016245100647211075,0.9998654723167419
0,FFN2,8,0.01131900854471404,0.0001009309125947766,0.988680991455286,0.9999675750732422,0.007978621870279312,0.010428022593259811,0.9999443292617798,0.008374614641070366,0.99996417760849,0.008055835030972958,0.9999668598175049
0,FFN2,9,0.0056121710073154625,2.4847458917065524e-05,0.9943878289926845,0.9999920129776001,0.003973925951868296,0.005194216500967741,0.9999861717224121,0.004171224310994148,0.9999910593032837,0.004012377467006445,0.999991774559021
0,FFN2,10,0.0028004337705184405,6.197279617481399e-06,0.9971995662294816,0.9999979734420776,0.001984494738280773,0.0025937510654330254,0.999996542930603,0.0020829197019338608,0.9999977946281433,0.0020036986097693443,0.9999979734420776
0,FFN2,11,0.0013913860522290788,1.5350910871347878e-06,0.9986086139477709,0.9999995231628418,0.0009941698517650366,0.0012961686588823795,0.9999990463256836,0.0010439190082252026,0.9999995231628418,0.001003787387162447,0.9999995231628418
0,FFN2,12,0.0007036407758416667,3.984949898949708e-07,0.9992963592241584,1.0,0.0005065457662567496,0.0006396722747012973,0.9999998807907104,0.0005328036495484412,1.0,0.0005114276427775621,1.0
0,K,4,0.5837043126424154,0.1825108379125595,0.41629568735758465,0.9674777984619141,0.25440752506256104,0.49008774757385254,0.8701375722885132,0.298561155796051,0.954770565032959,0.2640451192855835,0.964778482913971
0,K,5,0.36311817169189453,0.060594022274017334,0.6368818283081055,0.9915930032730103,0.12702885270118713,0.2531021237373352,0.9631098508834839,0.14982180297374725,0.9880176782608032,0.1319829821586609,0.9908365607261658
0,K,6,0.2057971954345703,0.017783205956220627,0.7942028045654297,0.9979182481765747,0.06270326673984528,0.12679892778396606,0.9900293350219727,0.0741138905286789,0.9969905614852905,0.06517920643091202,0.9977231025695801
0,K,7,0.11053021748860677,0.004873267374932766,0.8894697825113932,0.9994876384735107,0.03103339672088623,0.06315068900585175,0.997409462928772,0.0367080457508564,0.9992554783821106,0.03226316347718239,0.9994388818740845
0,K,8,0.05748589833577474,0.00128145981580019,0.9425141016642252,0.999873161315918,0.015423048287630081,0.03146705403923988,0.9993405938148499,0.018248265609145164,0.9998153448104858,0.016035277396440506,0.9998610615730286
0,K,9,0.029260635375976562,0.00032755950815044343,0.9707393646240234,0.9999685287475586,0.00768424104899168,0.01569514535367489,0.9998341202735901,0.00909285806119442,0.999954104423523,0.00798944104462862,0.9999655485153198
