layer_idx,sublayer,io_bits
0,FFN1,12
0,FFN2,6
0,K,8
0,O,6
0,Q,8
0,V,8
1,FFN1,12
1,FFN2,6
1,K,9
1,O,6
1,Q,9
1,V,9
2,FFN1,12
2,FFN2,6
2,K,9
2,O,6
2,Q,8
2,V,9
3,FFN1,12
3,FFN2,6
3,K,9
3,O,7
3,Q,8
3,V,9
4,FFN1,12
4,FFN2,6
4,K,9
4,O,7
4,Q,9
4,V,9
5,FFN1,12
5,FFN2,6
5,K,10
5,O,7
5,Q,9
5,V,9
6,FFN1,12
6,FFN2,6
6,K,10
6,O,6
6,Q,9
6,V,9
7,FFN1,11
7,FFN2,6
7,K,10
7,O,6
7,Q,10
7,V,9
8,FFN1,11
8,FFN2,6
8,K,10
8,O,6
8,Q,9
8,V,9
9,FFN1,11
9,FFN2,6
9,K,10
9,O,6
9,Q,9
9,V,9
10,FFN1,11
10,FFN2,6
10,K,10
10,O,6
10,Q,9
10,V,9
11,FFN1,10
11,FFN2,6
11,K,10
11,O,6
11,Q,9
11,V,9
