layer_idx,sublayer,mac_snr_db,mac_nmse,cosine,out_clip_ratio,ref_deadzone_ratio,mean_abs_err,median_abs_err,p95_abs_err,label
0,FFN1,14.493351175780404,0.011418324183939258,0.9932003509998322,0.0003387525346624898,0.027920118980109692,0.18304225005209446,0.10477400939911603,0.7109480720758438,baseline_sr_adc6
0,FFN2,16.114140642883793,0.024494648565673675,0.9718647482991218,0.0017688793560955674,0.20307017475366593,0.1877214181423187,0.14777625195682048,0.4858285202085972,baseline_sr_adc6
0,K,21.734050794552857,0.006713075790773722,0.9967014139890671,0.0,0.17423963077366353,0.06344603786244989,0.04681983668357134,0.1759906918555498,baseline_sr_adc6
0,O,19.97887482223995,0.010064014776653623,0.9948547747731209,0.0,0.7006858637928963,0.016779876556247474,0.013384777661412954,0.04302949970588088,baseline_sr_adc6
0,Q,21.40838530027184,0.007245465258924267,0.9958176738023758,0.0,0.18498303301632404,0.06340582191944122,0.048219606000930074,0.1727235186100006,baseline_sr_adc6
0,V,19.856135559362993,0.010326546250428332,0.9946341031789779,0.0,0.3467180332541466,0.03740132063627243,0.029606804875656964,0.09797115530818701,baseline_sr_adc6
1,FFN1,8.15014331327972,0.042924280530905634,0.9799895861744881,0.0002077759641542798,0.03098225962370634,0.37674800798296926,0.2812837076932192,1.0334844294190406,baseline_sr_adc6
1,FFN2,11.117032620246674,0.07780192907177405,0.9519908872246742,0.0004894786411023234,0.3428675390779972,0.13123574383556844,0.10467937864363193,0.32966001957654956,baseline_sr_adc6
1,K,19.56154116796929,0.011059724700112142,0.9944448810815811,0.0,0.17216577924787999,0.0877717649564147,0.06819500081241131,0.2369563591480255,baseline_sr_adc6
1,O,16.729377491216795,0.021258111364360795,0.9891598692536354,0.0,0.68999542593956,0.02414191189222038,0.019134437711909414,0.0627564300224185,baseline_sr_adc6
1,Q,19.347721047933323,0.01160496260666426,0.9942531582713127,0.0,0.1677321244776249,0.08627753097563982,0.06741927441209555,0.2313841649889946,baseline_sr_adc6
1,V,18.04319938458324,0.0156806230317283,0.9914685988426208,0.0,0.31371443897485735,0.05286938929930329,0.04169020598754287,0.14051749460399152,baseline_sr_adc6
2,FFN1,5.851319803809045,0.060974741322649996,0.9718043652176857,0.0002853653160855174,0.023212969098240138,0.47538715675473214,0.361639961451292,1.287712675333023,baseline_sr_adc6
2,FFN2,10.73536486277003,0.08446847689656611,0.9310044696927071,1.1855231409754197e-05,0.4427095444500446,0.11212882723659277,0.08892643257975578,0.28325618579983713,baseline_sr_adc6
2,K,14.83407221004549,0.03293316506495274,0.9822086203098297,6.357828823411182e-09,0.15931683272123337,0.17066725432872773,0.12930789101868867,0.46484726905822754,baseline_sr_adc6
2,O,16.681161724934494,0.021481404802558047,0.9891134756803512,0.0,0.6656402152776718,0.02486716556362808,0.020142125310376287,0.06390415927395225,baseline_sr_adc6
2,Q,15.303840370077614,0.02949654035078169,0.9840785300731659,4.8743354312819063e-08,0.1587010532617569,0.1707990437746048,0.12975015860050917,0.46179388254880904,baseline_sr_adc6
2,V,13.757552192783402,0.04220100351246926,0.9748623594641685,0.0,0.3076415625214577,0.09169182397425174,0.07399587783962489,0.23619308739900588,baseline_sr_adc6
3,FFN1,6.718171341163686,0.05370205875041089,0.9754950639605522,0.00034145408222684636,0.027261492358520628,0.4200239539146423,0.3184287977218628,1.1311946335434913,baseline_sr_adc6
