layer_idx,sublayer,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,x_absmax,x_p99,d_absmax,d_p99,BL_mean,BL_p99,BL_hit_ratio,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs
0,FFN1,0.974609375,0.025390625,3.0098594379524004e-06,6.019212305545807e-05,0.00023649257491342723,1.0,0.164292823523283,0.0,64.78747482299805,2.9366218566894533,0.005239507276564836,1.9702115969266744e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,FFN2,0.975390625,0.024609375,3.233317283957149e-06,6.727669388055802e-05,0.00022099342313595117,1.0,0.05624622907489538,0.0,11.472876739501952,1.3589608907699584,0.003551727463491261,0.00012147708184784278,1.0,1.0,0.0,,,,,,,,,,,,,
0,K,0.984765625,0.015234375,2.3517812905993196e-06,8.353162556886672e-05,0.00014111923810560255,1.0,-0.0005479753017425537,0.0,12.348464012145996,1.5798757553100586,0.0008395600481890142,2.4616455993964338e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,O,0.93125,0.06875,5.8700802583189216e-06,1.8274690955877303e-05,0.0004256496962625533,1.0,0.049527590675279495,0.0,2.8488412857055665,0.7095890283584595,0.004276572354137897,0.0001824813080020249,1.0,1.0,0.0,,,,,,,,,,,,,
0,Q,0.980859375,0.019140625,2.8174260933155892e-06,7.594041526317596e-05,0.00015578250458929687,1.0,-0.005024193646386265,0.0,12.348464012145996,1.5798757553100586,0.0010087161790579557,2.4924506578827278e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,V,0.944921875,0.055078125,5.330959811544744e-06,3.490447998046875e-05,0.000349912274396047,1.0,0.03612638572230935,0.0,12.348464012145996,1.5798757553100586,0.002116201911121607,4.79498048662208e-05,1.0,1.0,0.0,,,,,,,,,,,,,
1,FFN1,0.973046875,0.026953125,3.1600035981682597e-06,4.983805119991302e-05,0.0002597010286990553,1.0,0.08164229225367307,0.0,63.4198112487793,2.5085400581359862,0.004581015184521675,2.1952813403913753e-05,1.0,1.0,0.0,,,,,,,,,,,,,
1,FFN2,0.97890625,0.02109375,3.0350345241458854e-06,7.929317653179168e-05,0.00020811707072425633,1.0,0.04774927077814937,0.0,11.046072578430175,0.8693638324737549,0.0034991489257663487,0.00014026974677108228,1.0,1.0,0.0,,,,,,,,,,,,,
1,K,0.976953125,0.023046875,3.5204604046157328e-06,7.01826997101307e-05,0.00020616261172108353,1.0,0.05169454291462898,0.0,9.746604728698731,1.6708220481872558,0.0021796755958348514,3.265502018621191e-05,1.0,1.0,0.0,,,,,,,,,,,,,
1,O,0.918359375,0.081640625,6.953548563615186e-06,1.4242413453757762e-05,0.00045729230041615667,1.0,0.07156342715024948,0.0,3.3356454372406006,0.827189826965332,0.00449615172110498,0.0001875789574114606,1.0,1.0,0.0,,,,,,,,,,,,,
1,Q,0.97578125,0.02421875,3.412257865420543e-06,4.877094179391861e-05,0.00026856951590161773,1.0,0.10280252266675234,0.0,9.746604728698731,1.6708220481872558,0.0046896796440705655,3.277277864981443e-05,1.0,1.0,0.0,,,,,,,,,,,,,
