step,mode,layer_idx,sublayer,module_name,dw_min,desired_bl,sto_round_update,update_bl_management,update_management,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,x_absmax,x_p99,d_absmax,d_p99,BL_mean,BL_p99,BL_hit_ratio,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs
0,single,0,Q,bert.encoder.layer.0.attention.self.query,0.001,31,0,1,1,0.974609375,0.025390625,2.85640089714434e-06,4.3004751205444336e-05,0.00015289048315025866,1.0,-0.008108728565275669,0.0,12.348464012145996,1.59293794631958,0.0008391599985770881,2.948601104435511e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,0,K,bert.encoder.layer.0.attention.self.key,0.001,31,0,1,1,0.982421875,0.017578125,3.2163966352527495e-06,8.733570575714111e-05,0.00014286112855188549,1.0,0.02414197102189064,0.0,12.348464012145996,1.59293794631958,0.0006771007319912314,2.753376611508429e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,0,V,bert.encoder.layer.0.attention.self.value,0.001,31,0,1,1,0.939453125,0.060546875,6.290117198659573e-06,3.520399332046509e-05,0.0003663708921521902,1.0,0.003929570782929659,0.0,12.348464012145996,1.59293794631958,0.0017163401935249567,5.374157626647502e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,0,O,bert.encoder.layer.0.attention.output.dense,0.001,31,0,1,1,0.927734375,0.072265625,6.265427600737894e-06,3.229081630706787e-05,0.00045636840513907373,1.0,0.09338293969631195,0.0,2.783843994140625,0.7105172872543335,0.003919390961527824,0.00021309772273525596,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,0,FFN1,bert.encoder.layer.0.intermediate.dense,0.001,31,0,1,1,0.970703125,0.029296875,3.4932854759972543e-06,6.47958368062973e-05,0.0002658646262716502,1.0,0.031484611332416534,0.0,64.84825897216797,2.9288346767425537,0.0036220760084688663,2.430715539958328e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,0,FFN2,bert.encoder.layer.0.output.dense,0.001,31,0,1,1,0.970703125,0.029296875,3.6841975088464096e-06,4.682689905166626e-05,0.00023693923139944673,1.0,0.08026033639907837,0.0,10.115874290466309,1.4161628484725952,0.002715167123824358,0.0001442919747205451,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,1,Q,bert.encoder.layer.1.attention.self.query,0.001,31,0,1,1,0.978515625,0.021484375,3.246407231927151e-06,1.9297003746032715e-05,0.0002556554973125458,1.0,0.0172039233148098,0.0,9.831274032592773,1.682476282119751,0.0037822218146175146,3.949595702579245e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,1,K,bert.encoder.layer.1.attention.self.key,0.001,31,0,1,1,0.97265625,0.02734375,3.700091156133567e-06,5.922466516494751e-05,0.00021620080224238336,1.0,0.03901011124253273,0.0,9.831274032592773,1.682476282119751,0.0023316184524446726,3.776912490138784e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,1,V,bert.encoder.layer.1.attention.self.value,0.001,31,0,1,1,0.94921875,0.05078125,5.2862251322949305e-06,6.566569209098816e-05,0.0004183561832178384,1.0,0.0529143363237381,0.0,9.831274032592773,1.682476282119751,0.0027595178689807653,5.373885505832732e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,1,O,bert.encoder.layer.1.attention.output.dense,0.001,31,0,1,1,0.90234375,0.09765625,8.137304575939197e-06,1.1183321475982666e-05,0.0005419215303845704,1.0,0.023005442693829536,0.0,3.2079808712005615,0.7887023687362671,0.004783251788467169,0.0002208948426414281,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,1,FFN1,bert.encoder.layer.1.intermediate.dense,0.001,31,0,1,1,0.962890625,0.037109375,4.59788952866802e-06,5.1744282245635986e-05,0.0002792830637190491,1.0,0.06311161071062088,0.0,64.32942962646484,2.525996685028076,0.003705602139234543,2.5311746867373586e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,1,FFN2,bert.encoder.layer.1.output.dense,0.001,31,0,1,1,0.97265625,0.02734375,3.4218362543469993e-06,6.634742021560669e-05,0.00020288495579734445,1.0,0.0057267253287136555,0.0,12.381211280822754,0.8665475845336914,0.004552287515252829,0.0001641884446144104,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,2,Q,bert.encoder.layer.2.attention.self.query,0.001,31,0,1,1,0.98046875,0.01953125,3.6183873817208223e-06,0.00011595338582992554,0.00019300790154375136,1.0,0.16417621076107025,0.0,11.229047775268555,1.821307897567749,0.0016674816142767668,2.835255509126e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,2,K,bert.encoder.layer.2.attention.self.key,0.001,31,0,1,1,0.970703125,0.029296875,4.339201041148044e-06,1.4804303646087646e-05,0.00020481478713918477,1.0,-0.04308376461267471,0.0,11.229047775268555,1.821307897567749,0.0013478952459990978,3.116064181085676e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,2,V,bert.encoder.layer.2.attention.self.value,0.001,31,0,1,1,0.923828125,0.076171875,6.9780999183421955e-06,2.475827932357788e-05,0.0005356068722903728,1.0,0.10613374412059784,0.0,11.229047775268555,1.821307897567749,0.0034598626662045717,6.854426464997232e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,2,O,bert.encoder.layer.2.attention.output.dense,0.001,31,0,1,1,0.904296875,0.095703125,8.818456990411505e-06,4.395144060254097e-06,0.0005499797407537699,1.0,0.09920724481344223,0.0,3.151700019836426,1.0653059482574463,0.006013431120663881,0.0002079094701912254,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,2,FFN1,bert.encoder.layer.2.intermediate.dense,0.001,31,0,1,1,0.97265625,0.02734375,3.279542397649493e-06,6.895139813423157e-05,0.00031587592093274,1.0,-0.044198762625455856,0.0,52.70153045654297,2.3636910915374756,0.0036223011557012796,2.67715186055284e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,2,FFN2,bert.encoder.layer.2.output.dense,0.001,31,0,1,1,0.984375,0.015625,2.1430387278087437e-06,8.534640073776245e-05,0.00023221480660140514,1.0,0.024924973025918007,0.0,61.96870422363281,0.6206538081169128,0.01051565445959568,0.00017481736722402275,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,3,Q,bert.encoder.layer.3.attention.self.query,0.001,31,0,1,1,0.9609375,0.0390625,5.603716545010684e-06,5.8475881814956665e-05,0.00022344992612488568,1.0,0.1542525291442871,0.0,14.905170440673828,1.7828187942504883,0.0011395664187148213,3.0531358788721263e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,3,K,bert.encoder.layer.3.attention.self.key,0.001,31,0,1,1,0.974609375,0.025390625,3.8136495277285576e-06,6.307289004325867e-05,0.00022877006267663091,1.0,0.09941006451845169,0.0,14.905170440673828,1.7828187942504883,0.001088871038518846,3.700666275108233e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,3,V,bert.encoder.layer.3.attention.self.value,0.001,31,0,1,1,0.912109375,0.087890625,9.563779713062104e-06,2.0260922610759735e-05,0.0005879194941371679,1.0,0.30600103735923767,0.0,14.905170440673828,1.7828187942504883,0.002688561100512743,8.621670713182539e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,3,O,bert.encoder.layer.3.attention.output.dense,0.001,31,0,1,1,0.904296875,0.095703125,8.821493793220725e-06,3.7268036976456642e-06,0.000639007892459631,1.0,0.07742634415626526,0.0,3.5107834339141846,0.927318811416626,0.019276002421975136,0.0002222028560936451,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,3,FFN1,bert.encoder.layer.3.intermediate.dense,0.001,31,0,1,1,0.9609375,0.0390625,6.084157121222233e-06,7.75754451751709e-05,0.00034835340920835733,1.0,-0.007583346683532,0.0,94.43846130371094,2.3152260780334473,0.003403652459383011,2.764681812550407e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,3,FFN2,bert.encoder.layer.3.output.dense,0.001,31,0,1,1,0.990234375,0.009765625,1.3484989267453784e-06,0.00010811537504196167,0.0002743772347457707,1.0,0.06448812037706375,0.0,7.1090850830078125,0.6771313548088074,0.004869676195085049,0.00017800118075683713,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,4,Q,bert.encoder.layer.4.attention.self.query,0.001,31,0,1,1,0.978515625,0.021484375,3.08504058921244e-06,1.3962388038635254e-05,0.0002575533580966294,1.0,0.01899435743689537,0.0,13.214763641357422,1.770573616027832,0.0015962711768224835,3.1554744055029005e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,4,K,bert.encoder.layer.4.attention.self.key,0.001,31,0,1,1,0.966796875,0.033203125,4.132127287448384e-06,1.307344064116478e-05,0.00023602120927534997,1.0,0.05915271118283272,0.0,13.214763641357422,1.770573616027832,0.0018708716379478574,4.2692776332842186e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,4,V,bert.encoder.layer.4.attention.self.value,0.001,31,0,1,1,0.95703125,0.04296875,4.910840743832523e-06,4.30569052696228e-05,0.00042987478082068264,1.0,0.06111205741763115,0.0,13.214763641357422,1.770573616027832,0.002894367091357708,7.380330498563126e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,4,O,bert.encoder.layer.4.attention.output.dense,0.001,31,0,1,1,0.93359375,0.06640625,6.574558028660249e-06,1.1573079973459244e-05,0.0005525856395252049,1.0,0.0868665874004364,0.0,3.8073089122772217,0.8819209337234497,0.013511959463357925,0.0002244158531539142,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,4,FFN1,bert.encoder.layer.4.intermediate.dense,0.001,31,0,1,1,0.96875,0.03125,3.7211138987913728e-06,7.170811295509338e-05,0.00035074297920800745,1.0,-0.0027527681086212397,0.0,102.24750518798828,2.1898317337036133,0.004656602628529072,2.8557466066558845e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,4,FFN2,bert.encoder.layer.4.output.dense,0.001,31,0,1,1,0.982421875,0.017578125,2.470929302944569e-06,7.109716534614563e-05,0.00026898778742179275,1.0,-0.05070704594254494,0.0,10.846696853637695,0.6464836597442627,0.005266926717013121,0.00018266114057041705,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,5,Q,bert.encoder.layer.5.attention.self.query,0.001,31,0,1,1,0.974609375,0.025390625,3.6071551221539266e-06,7.336586713790894e-05,0.000223659590119496,1.0,-0.01833980903029442,0.0,14.594983100891113,1.7867152690887451,0.0019399859011173248,2.7673198928823695e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,5,K,bert.encoder.layer.5.attention.self.key,0.001,31,0,1,1,0.96484375,0.03515625,4.444632850209018e-06,5.9757381677627563e-05,0.00022735957463737577,1.0,-0.0036136924754828215,0.0,14.594983100891113,1.7867152690887451,0.0016756204422563314,3.9866041333880275e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,5,V,bert.encoder.layer.5.attention.self.value,0.001,31,0,1,1,0.958984375,0.041015625,4.46709236712195e-06,5.520181730389595e-06,0.0004748355713672936,1.0,0.20384681224822998,0.0,14.594983100891113,1.7867152690887451,0.0028083203360438347,7.270880450960249e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,5,O,bert.encoder.layer.5.attention.output.dense,0.001,31,0,1,1,0.921875,0.078125,7.871939487813506e-06,2.960488200187683e-05,0.0005026448052376509,1.0,0.06936846673488617,0.0,3.4561331272125244,0.8888059854507446,0.008340449072420597,0.00024688587291166186,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,5,FFN1,bert.encoder.layer.5.intermediate.dense,0.001,31,0,1,1,0.970703125,0.029296875,3.7290590171323856e-06,2.3000873625278473e-05,0.0004139802185818553,1.0,0.19956938922405243,0.0,93.70618438720703,2.1646060943603516,0.004322594963014126,2.988205051224213e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,5,FFN2,bert.encoder.layer.5.output.dense,0.001,31,0,1,1,0.9765625,0.0234375,3.702909452840686e-06,0.00010211765766143799,0.0003202916996087879,1.0,0.02617761306464672,0.0,9.333067893981934,0.6214222311973572,0.0041887396946549416,0.0001920252398122102,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,6,Q,bert.encoder.layer.6.attention.self.query,0.001,31,0,1,1,0.96484375,0.03515625,5.133289505465655e-06,7.157027721405029e-05,0.0002794766623992473,1.0,0.043099354952573776,0.0,15.480400085449219,1.8364989757537842,0.0033265857491642237,2.756071262410842e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,6,K,bert.encoder.layer.6.attention.self.key,0.001,31,0,1,1,0.982421875,0.017578125,2.8228137125552166e-06,0.00014016032218933105,0.0002643499174155295,1.0,0.015827883034944534,0.0,15.480400085449219,1.8364989757537842,0.0014068721793591976,3.9803861000109464e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,6,V,bert.encoder.layer.6.attention.self.value,0.001,31,0,1,1,0.9453125,0.0546875,5.950899321760517e-06,1.0143034160137177e-05,0.0005770849529653788,1.0,0.210570827126503,0.0,15.480400085449219,1.8364989757537842,0.0029211831279098988,6.905881309648976e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,6,O,bert.encoder.layer.6.attention.output.dense,0.001,31,0,1,1,0.939453125,0.060546875,5.956303539278451e-06,4.307553172111511e-05,0.0006322633707895875,1.0,0.14304926991462708,0.0,3.436501979827881,0.8640217781066895,0.008998529054224491,0.00023708169464953244,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,6,FFN1,bert.encoder.layer.6.intermediate.dense,0.001,31,0,1,1,0.96484375,0.03515625,3.956743512389949e-06,1.939915819093585e-07,0.0004840229812543839,1.0,0.05664404109120369,0.0,92.03523254394531,2.1650805473327637,0.005474626552313566,3.1593644962413236e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,6,FFN2,bert.encoder.layer.6.output.dense,0.001,31,0,1,1,0.970703125,0.029296875,3.967719749198295e-06,8.088350296020508e-05,0.00031257266527973115,1.0,-0.04375278577208519,0.0,7.608242034912109,0.6095784306526184,0.005722757428884506,0.00019490698468871415,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,7,Q,bert.encoder.layer.7.attention.self.query,0.001,31,0,1,1,0.98046875,0.01953125,2.8221766115166247e-06,8.748844265937805e-05,0.00024324445985257626,1.0,-0.003551722038537264,0.0,15.872673034667969,1.8845667839050293,0.0031300042755901814,2.0352425053715706e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,7,K,bert.encoder.layer.7.attention.self.key,0.001,31,0,1,1,0.982421875,0.017578125,2.071611561405007e-06,9.057670831680298e-05,0.00022261927369982004,1.0,0.08551453053951263,0.0,15.872673034667969,1.8845667839050293,0.0020381263457238674,3.319521783851087e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,7,V,bert.encoder.layer.7.attention.self.value,0.001,31,0,1,1,0.943359375,0.056640625,5.814048563479446e-06,3.3095479011535645e-05,0.0006643427186645567,1.0,0.16536322236061096,0.7561913728713989,15.872673034667969,1.8845667839050293,0.002765777986496687,7.252074283314869e-05,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,7,O,bert.encoder.layer.7.attention.output.dense,0.001,31,0,1,1,0.943359375,0.056640625,5.0436351557436865e-06,2.415478229522705e-05,0.0005759736523032188,1.0,0.08966156840324402,0.0,3.0588955879211426,0.8781205415725708,0.0057633076794445515,0.00022676742810290307,1.0,1.0,0.0,,,,,,,,,,,,,
0,single,7,FFN1,bert.encoder.layer.7.intermediate.dense,0.001,31,0,1,1,0.966796875,0.033203125,4.185797934042057e-06,5.741789937019348e-05,0.00040554095176048577,1.0,0.09015721082687378,0.0,92.23235321044922,2.1521692276000977,0.005772548262029886,2.9258548238431104e-05,1.0,1.0,0.0,,,,,,,,,,,,,
