epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.2914869057826506,2.2416159160614013,16.55,60.99
1,2.2609210876318127,2.227708832168579,18.5,64.03
2,2.250740452301808,2.216029835128784,19.53,66.56
3,2.2433024345300137,2.2048533180236816,20.43,68.74
4,2.237142144716703,2.1961510089874268,21.12,70.68
5,2.230481209510412,2.189901334762573,22.13,71.92
6,2.225383166777782,2.184736127090454,22.41,72.3
7,2.2241706389647264,2.1823258560180663,22.96,72.74
8,2.220667085892115,2.1815868633270266,22.81,72.67
9,2.2217950845376038,2.181532187271118,22.7,73.15
10,2.2206059504777955,2.180864111328125,22.81,72.96
11,2.2200685660044353,2.1817992706298828,23.06,72.62
12,2.2207181716576603,2.182113059234619,23.03,72.6
13,2.22160242276314,2.1819906826019286,22.98,72.85
14,2.222094318805597,2.183259606170654,22.83,72.78
15,2.220986753854996,2.1833199016571045,22.75,73.0
