step,mode,layer_idx,sublayer,module_name,dw_min,desired_bl,sto_round_update,update_bl_management,update_management,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,dw_absmax,dw_q90,dw_q99,pulse_sat_ratio,bound_sat_ratio,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,BL_mean,BL_p99,BL_hit_ratio,pulse_under_frac,pulse_ok_frac,pulse_over_frac,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs,is_transfer_step,transfer_duty,transfer_spike,transfer_efficiency,buffer_above_thresh_ratio,sign_mismatch_ratio,rel_update_error,BL_fp_mean,BL_fp_p99,BL_fp_hit_ratio,dw_p50,trace_every
0,tiki,0,Q,bert.encoder.layer.0.attention.self.query,0.001,31,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014838212518952787,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.6796875,0.193359375,0.0006444382015615702,1.0,0.0,0.0,0.0024822349660098553,0.0,0.00012219397467561066,0.23755088448524475,0.9982282850477431,0.0,0.0,1,0.0,0.0,0.0,0.0017717149522569445,1.0,0.0,0.0,0.0,0.0,0.0,1
0,tiki,0,K,bert.encoder.layer.0.attention.self.key,0.001,31,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015341481775976717,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.64453125,0.220703125,0.0007321264711208642,1.0,0.0,0.0,-0.03381246700882912,0.0,0.00012018025881843641,0.190040722489357,0.9982452392578125,0.0,0.0,1,0.0,0.0,0.0,0.0017547607421875,1.0,0.0,0.0,0.0,0.0,0.0,1
0,tiki,0,V,bert.encoder.layer.0.attention.self.value,0.001,31,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035999296233057976,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.263671875,0.4296875,0.00169289147015661,1.0,0.0,0.0,0.06217688322067261,0.0,0.00012203289224999025,0.190040722489357,0.9982079399956597,0.0,0.0,1,0.0,0.0,0.0,0.0017920600043402778,1.0,0.0,0.0,0.0,0.0,0.0,1
0,tiki,0,O,bert.encoder.layer.0.attention.output.dense,0.001,31,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044144841376692057,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.2421875,0.396484375,0.001977344276383519,1.0,0.0,0.0,0.009126560762524605,0.0,0.0001229189510922879,0.23755088448524475,0.9981858995225694,0.0,0.0,1,0.0,0.0,0.0,0.0018141004774305555,1.0,0.0,0.0,0.0,0.0,0.0,1
0,tiki,0,FFN1,bert.encoder.layer.0.intermediate.dense,0.001,31,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002497140085324645,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.615234375,0.228515625,0.0008223690674640238,1.0,0.0,0.0,-0.01598742976784706,0.0,0.00012247596168890595,0.23755088448524475,0.9981842041015625,0.0,0.0,1,0.0,0.0,0.0,0.0018157958984375,1.0,0.0,0.0,0.0,0.0,0.0,1
0,tiki,0,FFN2,bert.encoder.layer.0.output.dense,0.001,31,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002474063076078892,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.642578125,0.2265625,0.000734665896743536,1.0,0.0,0.0,0.012435926124453545,0.0,9.033661626745015e-05,0.23755088448524475,0.9986576504177518,0.0,0.0,1,0.0,0.0,0.0,0.001342349582248264,1.0,0.0,0.0,0.0,0.0,0.0,1
0,tiki,1,Q,bert.encoder.layer.1.attention.self.query,0.001,31,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028327599284239113,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.55859375,0.2734375,0.0009173994185402989,1.0,0.0,0.0,0.10663069039583206,0.0,0.00012138850433984771,0.23755088448524475,0.9982282850477431,0.0,0.0,1,0.0,0.0,0.0,0.0017717149522569445,1.0,0.0,0.0,0.0,0.0,0.0,1
0,tiki,1,K,bert.encoder.layer.1.attention.self.key,0.001,31,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002368203131482005,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5859375,0.255859375,0.0008846675627864897,1.0,0.0,0.0,-0.05157718062400818,0.0,0.00012436884571798146,0.190040722489357,0.9981536865234375,0.0,0.0,1,0.0,0.0,0.0,0.0018463134765625,1.0,0.0,0.0,0.0,0.0,0.0,1
0,tiki,1,V,bert.encoder.layer.1.attention.self.value,0.001,31,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042000983376055956,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.296875,0.353515625,0.001848052954301238,1.0,0.0,0.0,0.033370207995176315,0.0,0.00012171067646704614,0.2850610911846161,0.9981892903645834,0.0,0.0,1,0.0,0.0,0.0,0.0018107096354166667,1.0,0.0,0.0,0.0,0.0,0.0,1
0,tiki,1,O,bert.encoder.layer.1.attention.output.dense,0.001,31,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004698561388067901,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.158203125,0.408203125,0.00224740500561893,1.0,0.0,0.0,-0.04392402619123459,0.0,0.0001236439129570499,0.190040722489357,0.9981723361545138,0.0,0.0,1,0.0,0.0,0.0,0.001827663845486111,1.0,0.0,0.0,0.0,0.0,0.0,1
