epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.4030781513605364,2.356542844772339,12.58,49.36
1,2.065438017478356,1.996836629486084,28.86,80.07
2,1.833574461325621,1.659443242263794,37.63,88.52
3,1.6955281101740323,1.5486084728240967,43.75,90.97
4,1.6483654972834465,1.4987199470520018,44.8,91.94
5,1.5745440217164846,1.4321352928161621,47.37,92.56
6,1.5145186592371036,1.4095712322235108,48.81,92.92
7,1.4767823790892576,1.3566948804855348,50.98,93.7
8,1.4343190437708147,1.3472905759811402,51.17,94.0
9,1.3994831574268831,1.3014477697372437,53.05,94.55
10,1.3804064010962462,1.297300562477112,53.48,94.61
11,1.3658566652200161,1.2765571012496948,53.76,94.56
12,1.3463806051474352,1.2352363718032837,55.59,94.71
13,1.332258308850802,1.2328689044952392,55.82,94.59
14,1.322002235131386,1.2416326847076415,55.08,95.02
15,1.306318759612548,1.2059465656280517,56.69,95.3
16,1.297548409914359,1.1863561069488526,57.2,95.47
17,1.272091474594214,1.1822187190055846,57.57,95.24
18,1.265432306436392,1.154592756843567,58.33,95.92
19,1.249647569656372,1.1746222650527953,57.62,95.43
20,1.241008517681024,1.155633683204651,58.37,95.48
21,1.2345112331402608,1.147260540008545,58.57,95.93
22,1.2231570303440094,1.1746963338851928,57.74,95.61
23,1.21798377205164,1.1164206809043884,59.94,96.08
24,1.2121940256693424,1.113349241065979,60.31,96.32
25,1.2048610554291652,1.1362109994888305,58.86,95.63
26,1.1975799260995328,1.1434996095657348,59.35,95.5
27,1.1878711440624334,1.0929843929290772,60.68,96.2
28,1.1839969793955485,1.0825379998207092,61.49,96.32
29,1.179061386676935,1.091782967376709,61.05,96.28
30,1.1768435151149066,1.08294173078537,61.57,96.01
31,1.1718878461764408,1.106828624343872,60.08,96.38
32,1.164589426609186,1.0897356660842896,61.02,96.32
33,1.1567411251557178,1.0589537797927857,61.86,96.59
34,1.1546726213051723,1.0484611789703369,62.75,96.56
35,1.1449641939921258,1.0697856302261353,61.31,96.32
36,1.1388697318541698,1.0439250094413757,63.11,96.55
37,1.1341281248972965,1.0611698356628418,61.86,96.41
38,1.1263208808043064,1.0487167907714843,63.38,96.58
39,1.1270532614145523,1.0414299453735352,63.07,96.7
40,1.1206851347898825,1.0759821977615356,61.02,96.6
41,1.1101649180436746,1.0411266887664794,63.0,96.52
42,1.1105096068137732,1.0435799381256103,62.62,96.66
43,1.1045724683847182,1.034614669418335,63.08,96.51
