epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.4030781513605364,2.356542844772339,12.58,49.36
1,2.0801775000034235,2.0316779708862303,28.07,79.26
2,1.8278796379382793,1.6553581848144532,38.11,88.52
3,1.7020277035542024,1.5900781705856324,40.99,90.04
4,1.6165891057405717,1.473519567489624,46.08,92.51
5,1.5632485845150093,1.4196547632217407,49.06,93.0
6,1.4969275034390963,1.3911663356781006,49.57,93.1
7,1.4667964495145358,1.3449499143600463,51.28,94.02
8,1.429108405418885,1.35794632396698,50.6,93.86
9,1.3974394810505402,1.3102222888946533,52.19,94.14
10,1.3789050502654834,1.308360195541382,53.58,94.54
11,1.3627455133658188,1.2750128547668458,54.36,94.64
12,1.339247185144669,1.246569669342041,55.46,94.85
13,1.321887443921505,1.2278658111572265,56.2,94.87
14,1.3081275851298602,1.2266564121246337,55.5,95.27
15,1.2890883402946667,1.2060779294967652,56.78,95.21
16,1.2826707688661723,1.184640277671814,57.18,95.57
17,1.265824794769287,1.1963590308189391,56.62,95.43
18,1.256394779834992,1.174689026260376,57.7,95.59
19,1.2459113750702295,1.1472893391609191,59.22,95.69
20,1.234148540863624,1.141678691291809,59.17,95.82
21,1.224853081886585,1.1512496290206908,59.54,95.8
22,1.2145453303288192,1.1981381783485412,56.58,95.5
23,1.1995141350305998,1.139535439968109,59.1,95.91
24,1.1975236949248191,1.1171906818389892,60.63,96.16
25,1.1859213601320218,1.1162019852638245,60.68,96.14
26,1.1834656496842701,1.1384860669136048,59.35,95.64
27,1.1741831174263588,1.0981419763565063,61.28,96.3
28,1.1712804196736752,1.084678342151642,61.61,96.42
29,1.1612679667961903,1.0693242520332336,62.06,96.52
30,1.1540006179075974,1.0780649436950684,61.89,96.35
31,1.146165550366426,1.0826906658172608,61.82,96.52
32,1.1390001692833045,1.0702466792106629,62.36,96.57
33,1.1303134135710888,1.070699440097809,62.31,96.26
34,1.126771923364737,1.0472610117912293,63.21,96.65
35,1.1217895067655124,1.0503776621818544,62.92,96.64
36,1.1170937328766555,1.0358527178764343,63.15,96.73
37,1.1125017079023214,1.0450849086761476,62.88,96.65
38,1.1056490921057187,1.0324661536216735,63.33,96.71
39,1.1033603593325003,1.0367633892059327,63.15,96.75
40,1.0989054446036999,1.0421637056350708,63.04,96.6
41,1.0930396579779111,1.0300622569084168,63.8,96.69
42,1.0896775398498926,1.0399293343544007,63.13,96.71
43,1.0878085593382518,1.0328855669021606,63.62,96.63
44,1.0840821973788433,1.0257457248687745,63.92,96.83
45,1.0800969030612555,1.0226620478630066,64.15,96.72
46,1.0815166172308799,1.0201393404960633,64.23,96.88
47,1.0754462341467539,1.0219817352294922,63.96,96.81
48,1.0774789470892685,1.0202971053123475,64.14,96.8
49,1.0769089957078297,1.0214789580345154,64.11,96.86
