epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.243419497441023,2.146371935272217,24.38,74.2
1,2.0637391075109823,1.8463580471038818,30.64,84.54
2,1.8638226594680394,1.7794032697677613,33.88,86.16
3,1.8091958733705373,1.7126471992492676,36.36,87.49
4,1.777277551858853,1.6797208530426024,36.92,88.26
5,1.7465167571336795,1.661956469154358,38.44,88.5
6,1.721588059877738,1.633490470123291,39.61,89.32
7,1.7011948035313533,1.6211320396423339,40.31,89.69
8,1.6894922757760071,1.6061985885620118,41.06,89.97
9,1.6806213284150149,1.6082185869216918,41.43,90.03
10,1.6868049196707897,1.6106616451263427,40.67,90.06
11,1.68874584650382,1.620052105331421,40.4,89.91
12,1.6937836613410557,1.6246917310714721,40.25,89.7
13,1.6960601228934067,1.6273320207595825,40.85,89.82
14,1.705164729937529,1.6408416275024413,39.56,89.6
15,1.7106691498022812,1.6425810733795165,39.69,89.64
16,1.7134929397167304,1.6525322200775145,39.88,89.37
