step,layer_idx,sublayer,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta
0,0,Q,0.9771116611847682,0.022888338815231765,3.487013600533828e-06,1.0818243026733398e-05
0,0,K,0.974500695127327,0.025499304872673018,3.977240339736454e-06,1.0579824447631836e-06
0,0,V,0.9215353836763759,0.07846461632362416,7.1579947871214245e-06,3.778986865654588e-07
0,0,O,0.900444203316266,0.09955579668373402,8.962566425907426e-06,2.033848431892693e-07
0,0,FFN1,0.9650276142398773,0.03497238576012275,3.990282948507229e-06,2.763990778476e-07
0,0,FFN2,0.97197461948298,0.02802538051701995,3.7180000163061777e-06,2.4230757844634354e-07
0,1,Q,0.9594791631345156,0.04052083686548438,6.130681413196726e-06,1.291919033974409e-06
0,1,K,0.9674137872571293,0.032586212742870706,4.9293712436337955e-06,4.3213367462158203e-07
0,1,V,0.9218575158522939,0.07814248414770608,7.029529115243349e-06,1.187072484754026e-07
0,1,O,0.8982062324098877,0.10179376759011224,8.93753440323053e-06,1.4156103134155273e-07
0,1,FFN1,0.9702325699680836,0.02976743003191638,3.5190951166441664e-06,1.043081283569336e-07
0,1,FFN2,0.9764420651975806,0.023557934802419373,3.1860952276474563e-06,8.99090082384646e-08
0,2,Q,0.9747380556780034,0.025261944321996542,3.559812967068865e-06,1.475214958190918e-06
0,2,K,0.9707029263165033,0.02929707368349666,4.157219791522948e-06,9.98377799987793e-07
0,2,V,0.9046488759282493,0.0953511240717507,7.84763597039273e-06,2.7421265258453786e-08
0,2,O,0.8963582109796209,0.1036417890203791,8.964203516370617e-06,5.519832484424114e-07
0,2,FFN1,0.9716397729825499,0.028360227017450165,3.462025233602617e-06,2.0489096641540527e-07
0,2,FFN2,0.9768786372171289,0.023121362782871118,3.1600404781784164e-06,1.5187542885541916e-06
0,3,Q,0.9712624190430978,0.028737580956902105,3.965119958593277e-06,2.726912498474121e-06
0,3,K,0.9686853616357533,0.03131463836424672,4.474882643989986e-06,3.166496753692627e-06
0,3,V,0.9254518327625377,0.07454816723746227,7.514600838476326e-06,2.1606683731079102e-07
0,3,O,0.905377911905327,0.09462208809467296,8.464816346531734e-06,1.784937921911478e-07
0,3,FFN1,0.9702961484175324,0.029703851582467605,3.6324772736406885e-06,1.0505318641662598e-06
0,3,FFN2,0.977429650445685,0.02257034955431507,3.0646504001197172e-06,3.865279722958803e-07
0,4,Q,0.9721101352955139,0.027889864704486116,3.939557700505247e-06,1.7517595551908016e-06
0,4,K,0.969092265436913,0.030907734563087045,4.360282218840439e-06,4.291534423828125e-06
0,4,V,0.9474755010003052,0.05252449899969482,5.9545322983467486e-06,3.454988473095e-08
0,4,O,0.9239089891831406,0.07609101081685939,7.553903742518742e-06,1.6391277313232422e-07
0,4,FFN1,0.9701520372654485,0.029847962734551495,3.5512996419129195e-06,3.8235157262533903e-07
0,4,FFN2,0.9775356145280996,0.022464385471900446,3.230173660995206e-06,9.856594260782003e-07
0,5,Q,0.9747719643281001,0.025228035671899903,3.4521442557888804e-06,5.3427356760948896e-08
0,5,K,0.974398969177037,0.025601030822962938,3.6490807815425796e-06,9.98377799987793e-07
0,5,V,0.9430843308127903,0.05691566918720966,6.328147264866857e-06,3.100140020251274e-07
0,5,O,0.9266894984910651,0.07331050150893494,7.533160442108056e-06,1.2814998626708984e-06
0,5,FFN1,0.9665280656468683,0.033471934353131665,4.035093752463581e-06,1.0211952030658722e-06
0,5,FFN2,0.9749119438475135,0.025079579025893382,3.7141282973607304e-06,3.009699867106974e-07
0,6,Q,0.9735173442745244,0.02648265572547557,3.67134975931549e-06,1.7886050045490265e-06
0,6,K,0.9730087145230748,0.026991285476925163,3.904920049535576e-06,4.077097401022911e-06
0,6,V,0.9370485910955885,0.06295140890441152,6.307314833975397e-06,6.199115887284279e-09
0,6,O,0.9205181241734767,0.07948187582652334,7.960637958603911e-06,2.434244379401207e-07
0,6,FFN1,0.9656040588482128,0.03439594115178719,4.132758476771414e-06,4.0978193283081055e-07
0,6,FFN2,0.9726485510471371,0.02735144895286294,3.864874543069163e-06,2.210610546171665e-06
0,7,Q,0.9777389712115561,0.02226102878844393,3.0714634249306982e-06,2.041459083557129e-06
0,7,K,0.9772981587602998,0.022701841239700246,3.279342763562454e-06,3.7401914596557617e-06
0,7,V,0.9406598623308806,0.05934013766911939,6.000775556458393e-06,6.221525836735964e-07
0,7,O,0.9332677766098132,0.06673222339018683,6.594600108655868e-06,1.043081283569336e-06
0,7,FFN1,0.9660321537411679,0.033967846258832105,4.029326191812288e-06,3.3527612686157227e-07
0,7,FFN2,0.9709276943487235,0.029072305651276442,3.939511316275457e-06,1.8183491192758083e-06
0,8,Q,0.9733986639991862,0.026601336000813807,3.7666884509235388e-06,7.132533937692642e-06
0,8,K,0.9709063782170831,0.0290766674578685,4.253651241015177e-06,5.513429641723633e-07
