layer_idx,sublayer,mac_snr_db,mac_nmse,cosine,out_clip_ratio,ref_deadzone_ratio,mean_abs_err,median_abs_err,p95_abs_err,label
0,FFN1,28.353759391602953,0.00047483286463524113,0.9997277955214182,0.0002241487842790472,0.0017484029134114583,0.03475301961104075,0.019715110460917156,0.13019061585267386,single_run
0,FFN2,32.84424224547424,0.0005225727331090168,0.9992398619651794,0.0015936957400602598,0.01349639892578125,0.02636129843691985,0.021332648893197376,0.06712312748034795,single_run
0,K,37.324750339836335,0.000185808542321341,0.9999084969361623,0.0,0.010474310877422491,0.01120068815847238,0.00857094923655192,0.030247436836361885,single_run
0,O,34.56916128225986,0.0003512669218792956,0.9998208483060201,0.0,0.05355608959992727,0.003125910647213459,0.002468092987934748,0.008187583492447933,single_run
0,Q,36.739334394304926,0.000213011027298535,0.9998781085014343,0.0,0.010898731493701538,0.01126586552709341,0.008745153745015463,0.03002991310010354,single_run
0,V,34.35516429737597,0.00036653275970456475,0.9998028377691904,0.0,0.02093195014943679,0.007232026429846883,0.005672727401057879,0.019077748681108158,single_run
1,FFN1,22.416674497358827,0.0015686321706232045,0.9992621938387553,0.00016247784757676223,0.001806471108769377,0.06983845680952072,0.05049822727839152,0.19919752329587936,single_run
1,FFN2,26.703594690499262,0.002143210872901293,0.9985503156979879,0.00020458080204358944,0.024752016179263592,0.019614000494281452,0.01591550000011921,0.04950962153573831,single_run
1,K,34.41880600693396,0.0003616623070121328,0.9998169044653574,0.0,0.01081311252589027,0.015530970723678669,0.012067724019289017,0.04178585857152939,single_run
1,O,31.277362063060664,0.0007472975441205399,0.9996109306812286,0.0,0.0549307931214571,0.00421984742085139,0.003349659343560537,0.011041124351322651,single_run
1,Q,34.16225300641577,0.0003832396511602347,0.9998083511988322,0.0,0.010570667528857788,0.01546257066850861,0.012051242093245188,0.041496663664778076,single_run
1,V,32.27504705089113,0.0005921784590238638,0.9996658066908518,0.0,0.019927696014444034,0.01001351730277141,0.007785792152086894,0.026939748786389828,single_run
2,FFN1,20.701420280623065,0.0020982626211242133,0.9989971319834391,0.00028680872249727446,0.0015390184125863016,0.08340228100617726,0.0633690853913625,0.22848455607891083,single_run
2,FFN2,27.825515379597885,0.0016507208614632448,0.9977688392003378,6.781684078305261e-06,0.03318814871211847,0.016953572010000546,0.01351029301683108,0.04263968579471111,single_run
2,K,30.698617735584495,0.000857781381878846,0.9995378454526266,0.0,0.009664747398346663,0.028962293018897373,0.02245280146598816,0.07774808630347252,single_run
2,O,30.771336147540854,0.0008378611140388956,0.9995725055535635,0.0,0.04993410470585028,0.004724505512664716,0.003751808156569799,0.01241372525691986,single_run
2,Q,30.977352303093696,0.0008035268763947547,0.9995645383993784,8.477105097881577e-07,0.009686505421996117,0.029369975440204144,0.02276681363582611,0.07886282975474994,single_run
2,V,28.422365406242132,0.0014549403925305288,0.9991092383861542,0.0,0.019060205668210983,0.01684770081192255,0.013433263947566351,0.04431760994096597,single_run
3,FFN1,21.907102713298702,0.0017461757174767236,0.9991720219453176,0.00030446935367460054,0.0018707558241051931,0.07237087811032931,0.05484278003374735,0.19791065901517868,single_run
3,FFN2,25.87508186975313,0.00295768153455613,0.9978977342446645,6.781684078305261e-06,0.028596948521832626,0.01715859615554412,0.013726448019345602,0.043555740267038345,single_run
3,K,30.682814337251298,0.000865812658899171,0.9995306332906088,0.0,0.00908123996729652,0.027603190392255783,0.02212383598089218,0.07192513346672058,single_run
3,O,31.333829511138273,0.0007363619417681665,0.9996020893255869,0.0,0.0611284039914608,0.003923177214649816,0.0030699564764897027,0.010483365971595049,single_run
3,Q,30.703467444920634,0.0008594155159187614,0.9995248913764954,0.0,0.0092567161967357,0.027617905288934708,0.022157947222391765,0.0718432255089283,single_run
3,V,27.502848930248586,0.001802376813675362,0.9988168875376383,0.0,0.017881040461361408,0.01992631268997987,0.016024301449457806,0.05184821970760822,single_run
4,FFN1,21.25380192508162,0.0020554179647175787,0.9989839792251587,0.00025403057952644303,0.0019560213355968394,0.07592914750178655,0.05780834952990214,0.2079229379693667,single_run
4,FFN2,23.43757580627015,0.004535179405860355,0.9965765376885732,6.781684078305261e-06,0.033008999191224575,0.01780005358159542,0.014260332410534223,0.04490800388157368,single_run
4,K,29.059491480743706,0.0012638627924196266,0.9993219375610352,0.0,0.008729157658914724,0.033527215321858726,0.0266608993212382,0.08809806903203328,single_run
4,O,32.83708349976784,0.0005211745126173453,0.9997412860393524,0.0,0.050425211588541664,0.0038714095717296004,0.0029870588332414627,0.010498284983138243,single_run
4,Q,29.140011974759002,0.0012365144923015472,0.9993367791175842,0.0,0.008678860186288754,0.033768354604641594,0.026861677567164104,0.0887444516023,single_run
4,V,25.489703458698656,0.0028712608423527015,0.9972023963928223,0.0,0.016460560262203217,0.027607696130871773,0.02190668135881424,0.07279211779435475,single_run
5,FFN1,22.285635255490984,0.0017197600953417454,0.9991150796413422,2.401846450084122e-05,0.002289595431648195,0.06494022657473882,0.04984539250532786,0.17641228685776392,single_run
5,FFN2,23.61916929539547,0.004346648746260958,0.9971823891003927,6.781684078305261e-06,0.03490815311670303,0.016766101742784183,0.013455058137575785,0.04297649674117565,single_run
5,K,28.977717935491764,0.0012923443840603648,0.9993184705575308,0.0,0.0075836181640625,0.03917708061635494,0.031193974117438,0.1026937464872996,single_run
5,O,32.37195391574306,0.0005793822632681691,0.9996703962484995,0.0,0.05906790246566137,0.003877946602491041,0.0029237006480495134,0.010755658149719238,single_run
5,Q,28.775314383026256,0.0013474801379238543,0.9992823700110117,0.0,0.008073594809199372,0.03917125426232815,0.031217704216639202,0.10285330812136333,single_run
5,V,23.811310853670154,0.004247600356635625,0.9960514704386393,0.0,0.017670525858799618,0.031500945178171,0.025001809000968933,0.08310910686850548,single_run
6,FFN1,22.935558122455458,0.0014222290459408574,0.9992920656998953,7.134896729136623e-06,0.0023138257674872875,0.05827335827052593,0.04460648943980535,0.15849489470322928,single_run
6,FFN2,24.00241626780765,0.003980467292400931,0.9977328578631083,6.781684078305261e-06,0.03675446721414725,0.014778702054172754,0.011853548387686411,0.03808463675280412,single_run
6,K,28.72282613567978,0.0013820072968538145,0.9992675185203552,0.0,0.007366886905704935,0.03991807748874029,0.03166705866654714,0.10527372732758522,single_run
6,O,33.016677156670106,0.0004995466007857522,0.9997399350007375,0.0,0.05406725903352102,0.0036801814179246626,0.002792573223511378,0.010144900530576706,single_run
6,Q,28.689413870207606,0.0013880975237850906,0.9992645978927612,0.0,0.007932027180989584,0.03977419063448906,0.03157686690489451,0.10483049601316452,single_run
6,V,23.999273010804444,0.004081012397750275,0.9961631993452708,0.0,0.017751622945070267,0.03103186221172412,0.024302378296852112,0.08300436660647392,single_run
7,FFN1,24.440877320899503,0.0010457416495428206,0.9994987845420837,4.2950665677684206e-05,0.0025425663916394114,0.045990223065018654,0.03686008850733439,0.11755253622929256,single_run
7,FFN2,24.181594220890073,0.0038181965879632716,0.9980861246585846,6.781684078305261e-06,0.03474284956852595,0.014602469746023417,0.01137178639570872,0.03907751105725765,single_run
7,K,29.171582610490592,0.0012505789353187016,0.9993535180886587,0.0,0.006876910182957848,0.039512719959020615,0.030861554356912773,0.10601152603824933,single_run
7,O,32.28331391618967,0.0005928467553556284,0.99965767065684,0.0,0.05689437314867973,0.00391457990432779,0.0030433721840381622,0.010534786308805147,single_run
7,Q,29.099113793341417,0.0012645635536975538,0.9993391434351603,0.0,0.0076514350560804205,0.039066847413778305,0.030530273914337158,0.10468342651923497,single_run
7,V,23.383222742586884,0.004720987883828952,0.9955040812492371,0.0,0.019156844665606815,0.02959823329001665,0.023001857101917267,0.07990573222438495,single_run
8,FFN1,23.95459520100847,0.0011933810193371368,0.9994338651498159,0.00011875011235436735,0.002728921400072674,0.0464947031189998,0.03676234185695648,0.12077197432518005,single_run
8,FFN2,27.359918959730845,0.001854432590535176,0.9981512526671091,6.131772655256403e-05,0.03468351004024347,0.01436178277557095,0.010878082675238451,0.03867807177205881,single_run
8,K,27.099042758385448,0.0020319706009240325,0.9989595413208008,0.0,0.007423118377725284,0.04566383672257265,0.03374201307694117,0.12958922733863196,single_run
8,O,29.901181317285573,0.001029242927592943,0.999362071355184,0.0,0.052463955556352936,0.005219600396230817,0.004158639659484227,0.013678891584277153,single_run
8,Q,27.21652449967021,0.001960275741619074,0.9990057249863943,0.0,0.0076698021342357,0.04512457177042961,0.033390033369263016,0.1279770495990912,single_run
8,V,22.81339774320025,0.005382784590889196,0.9956734081109365,0.0,0.0164390845845143,0.03601115383207798,0.026584483683109283,0.1022739162047704,single_run
9,FFN1,26.640969805630593,0.0007612153426098583,0.9995919863382975,0.0009521201718598604,0.002425441013959547,0.03811590063075224,0.02994842827320099,0.09819403166572253,single_run
9,FFN2,37.33903068197115,0.00018505072422765926,0.9980210065841675,0.00020712393355400613,0.0393210519105196,0.016150247616072495,0.00972344974676768,0.038029564544558525,single_run
9,K,24.735872094511603,0.0034846475347748776,0.9982661505540212,0.0,0.007910551813741526,0.052113510047396026,0.03595243518551191,0.15749885141849518,single_run
9,O,31.26471847677519,0.0007485045949052561,0.9995733996232351,0.0,0.052488538747032486,0.004369190506016214,0.0035661309957504272,0.011154890370865663,single_run
9,Q,25.616976254479166,0.0028277185566256548,0.9986158311367035,0.0,0.007692407816648483,0.05032964237034321,0.03490174810091654,0.15155558536450067,single_run
9,V,22.015437119794033,0.006451674562545952,0.9962200621763865,0.0,0.015662016967932384,0.03798741723100344,0.026316762591401737,0.11456966896851857,single_run
10,FFN1,25.58749670192488,0.0008816007026252198,0.9995577534039816,0.00032594468696818996,0.0023206075420603156,0.038534076884388924,0.030373652776082356,0.09896868094801903,single_run
10,FFN2,33.63221026680879,0.00043356049864488037,0.9979256292184194,0.00012715657552083334,0.042263455068071686,0.017291856619218986,0.009077664464712143,0.03600542309383551,single_run
10,K,24.484100462240278,0.003660951753613866,0.9981559813022614,0.0,0.008511861165364584,0.05508200886348883,0.0383966863155365,0.16477889567613602,single_run
10,O,29.757763869907688,0.0010648741093872017,0.9993481636047363,0.0,0.06296284993489583,0.004426294316848119,0.0035870658854643502,0.011406432992468277,single_run
10,Q,24.040208527971227,0.004056005856041148,0.9978983501593272,0.0,0.00811993625635902,0.05696290793518225,0.03967421998580297,0.17046244690815607,single_run
10,V,20.89616030295517,0.00833430532171362,0.9950575232505798,0.0,0.019783302831153076,0.04252505861222744,0.029338080435991287,0.12821364402770996,single_run
11,FFN1,16.443839549709395,0.00639556106212322,0.9965907434622446,2.098083480935505e-05,0.0026599742705002427,0.09292994687954585,0.07304600874582927,0.24815141409635544,single_run
11,FFN2,24.43030939913598,0.003612555474685305,0.9980113406976064,2.7409306615785074e-05,0.04357260217269262,0.013210193409274021,0.009151261299848557,0.03961400004724661,single_run
11,K,22.763774208745417,0.005426078057293171,0.9972584247589111,0.0,0.008719267789274454,0.06557496761282285,0.046891823410987854,0.1922981639703115,single_run
11,O,31.483358312880338,0.0007116702836065476,0.9996355573336283,0.0,0.06195577047765255,0.003911139559932053,0.002984600762526194,0.010732734420647224,single_run
11,Q,22.3055641633013,0.006028127217532095,0.9969277878602346,0.0,0.007732815109193325,0.07181604206562042,0.05094358821709951,0.21169021477301916,single_run
11,V,19.225199219491355,0.012159060359041315,0.9907455245653788,0.0,0.021239104370276134,0.05655312662323316,0.04048485805590948,0.16577848295370737,single_run
