epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.2826045922743967,2.2461896354675295,15.86,60.54
1,2.26453628601172,2.238715106201172,17.21,62.74
2,2.2590351606026675,2.2299150913238526,17.52,63.93
3,2.2516583882845365,2.2166697814941405,18.61,67.29
4,2.2468629164573475,2.2102627685546876,19.24,68.38
5,2.241331836504814,2.2041033237457275,20.83,68.66
6,2.23714449772468,2.1995579639434815,20.11,69.98
7,2.233232851517506,2.195837152862549,20.26,69.43
8,2.230136870726561,2.1928901935577394,20.94,69.29
9,2.2315002019588763,2.196632730484009,21.22,66.33
10,2.232558126327319,2.1930407356262207,20.06,66.09
11,2.229797170101068,2.19345859413147,20.54,67.66
12,2.2309462492282575,2.1916726806640625,19.34,69.47
13,2.2307321273363554,2.193152550506592,21.9,69.07
14,2.2314584291898285,2.1962802925109863,19.53,69.91
15,2.229954427939195,2.1927755867004395,19.8,67.57
