epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.4030781513605364,2.356542844772339,12.58,49.36
1,2.046515935812241,1.8874151758193969,31.2,82.6
2,1.7913701482308217,1.6163042081832886,40.53,89.77
3,1.6855000645686418,1.5430569702148438,43.02,91.28
4,1.5769304633140564,1.4375749040603638,46.5,93.11
5,1.5084052935624734,1.3578838386535645,50.69,93.68
6,1.45436301781581,1.3337163387298585,50.69,93.96
7,1.41898378714537,1.2972435396194457,52.9,94.32
8,1.3737170405876942,1.2988067039489746,52.52,94.57
9,1.3366415567887135,1.2342308767318726,55.91,94.93
10,1.3122919018451984,1.1834929807662964,57.98,95.51
11,1.2876294677074138,1.1932442682266236,57.14,95.45
12,1.2616355602557843,1.155552875328064,58.72,95.76
13,1.2414499836090283,1.1583946640014648,58.66,95.34
14,1.223521614074707,1.1511179651260377,58.19,95.96
15,1.20562053445058,1.1204099500656128,60.08,95.93
16,1.1982843635938107,1.1092273551940919,59.97,96.07
17,1.1847265500288744,1.1402324203491212,58.35,95.87
18,1.1758971229577675,1.0945167697906495,60.62,96.18
19,1.1732781341442695,1.100294535446167,60.34,96.27
20,1.162794331709544,1.1001589846611024,60.96,96.08
21,1.158118767157579,1.068476759147644,61.78,96.14
22,1.1483569755004002,1.06741882314682,61.99,96.45
23,1.1382073257213985,1.040280336666107,63.13,96.59
24,1.1350437317139064,1.0563772994041443,62.91,96.57
25,1.125230799577175,1.0367830495834351,63.92,96.48
26,1.1293077418437372,1.0402868366241456,63.15,96.52
27,1.1238445340058743,1.0236290265083312,63.64,96.67
28,1.1177200276118058,1.035492797279358,62.96,96.68
29,1.1162276689822856,1.0254528704643249,63.54,96.67
30,1.106434519474323,1.0127926820755004,63.99,96.74
31,1.10920654183779,1.0271903998374938,63.68,96.46
32,1.1010821564075275,1.0253988118171693,63.49,96.62
33,1.0959404376836923,1.0331005474090575,63.16,96.58
34,1.0896233023741306,1.0135218508720398,64.12,96.82
35,1.0899844935307137,0.9930058702468872,65.11,96.91
36,1.0839045012608552,1.0140735663414002,63.87,96.69
37,1.0781713834175697,1.0163167497634888,64.39,96.68
38,1.0766100874313942,1.009356810760498,64.22,96.79
39,1.078226566926027,0.9966316696166992,64.87,96.83
40,1.0788427013617294,1.0439415504455567,62.78,96.61
