layer_idx,sublayer,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,x_absmax,x_p99,d_absmax,d_p99,BL_mean,BL_p99,BL_hit_ratio,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs
0,FFN1,1.0,0.0,0.0,0.0,0.0002565466042142361,1.0,0.0,0.0,64.77462997436524,2.936342239379883,0.004627482034265995,1.9705913291545585e-05,1.0,1.0,0.0,0.12421875,0.09296875,0.027636078360956162,1.0,0.0,0.0,0.0006743405014276504,0.0,0.00047148194571491333,0.51310995221138,0.9942023383246529,0.0,0.0
0,FFN2,1.0,0.0,0.0,0.0,0.00021309371513780206,1.0,0.0,0.0,11.497218132019043,1.3594126224517822,0.0033172420226037502,0.0001207563211210072,1.0,1.0,0.0,0.13515625,0.076953125,0.03610364047344774,1.0,0.0,0.0,0.0009066162630915642,0.0,0.000353279197588563,0.5036078989505768,0.9956402248806423,0.0,0.0
0,K,1.0,0.0,0.0,0.0,0.00014429691073019056,1.0,0.0,0.0,12.348464012145996,1.5798757553100586,0.0007715278654359281,2.456836373312399e-05,1.0,1.0,0.0,0.140625,0.04140625,0.12437859652563929,1.0,0.0,0.0,0.005549044534564018,0.0,0.0010621774534229189,0.7791669547557831,0.9934549967447917,0.0,0.0
0,O,1.0,0.0,0.0,0.0,0.00041039257193915547,1.0,0.0,0.0,2.8502214908599854,0.7096887588500976,0.004208013042807579,0.00018218023178633301,1.0,1.0,0.0,0.0421875,0.090234375,0.11721455221995711,1.0,0.0,0.0,0.006995386769995093,0.0,0.0008821971219731495,0.7411588132381439,0.9935699462890625,0.0,0.0
0,Q,1.0,0.0,0.0,0.0,0.0001551409557578154,1.0,0.0,0.0,12.348464012145996,1.5798757553100586,0.0009444061084650457,2.501313247194048e-05,1.0,1.0,0.0,0.13515625,0.05,0.10968894608085974,1.0,0.0,0.0,-0.004750723391771317,0.0,0.0009181060886476189,0.7031506329774857,0.993546888563368,0.0,0.0
0,V,1.0,0.0,0.0,0.0,0.00034627259592525663,1.0,0.0,0.0,12.348464012145996,1.5798757553100586,0.0018681934336200357,4.818018132937141e-05,1.0,1.0,0.0,0.06171875,0.08359375,0.13766757743433117,1.0,0.0,0.0,-0.008152223750948906,0.0,0.0010745015752036124,0.7981710225343704,0.9934058295355903,0.0,0.0
1,FFN1,1.0,0.0,0.0,0.0,0.00024440349370706825,1.0,0.0,0.0,63.33053894042969,2.5084770202636717,0.004093860602006316,2.204123229603283e-05,1.0,1.0,0.0,0.1265625,0.10859375,0.028686463087797164,1.0,0.0,0.0,0.001366846077144146,0.0,0.0004994123883079737,0.8551832616329194,0.9941697862413195,0.0,0.0
1,FFN2,1.0,0.0,0.0,0.0,0.00023471713648177684,1.0,0.0,0.0,11.036565017700195,0.8696454167366028,0.003731331368908286,0.00014065146824577824,1.0,1.0,0.0,0.133203125,0.0734375,0.03913863047491759,1.0,0.0,0.0,-0.0203671723138541,0.0,0.00045885978179285305,0.6366364061832428,0.9954620361328125,0.0,0.0
1,K,1.0,0.0,0.0,0.0,0.00019775903783738613,1.0,0.0,0.0,9.747434997558594,1.6706292867660522,0.0025935205863788723,3.2330314206774345e-05,1.0,1.0,0.0,0.115625,0.0609375,0.09579110543709249,1.0,0.0,0.0,-0.011767095467075706,0.0,0.0009110982675338164,0.7601628601551056,0.993548583984375,0.0,0.0
1,O,1.0,0.0,0.0,0.0,0.0004401677462738007,1.0,0.0,0.0,3.3367573738098146,0.826925528049469,0.004411533335223794,0.00018806819571182132,1.0,1.0,0.0,0.040234375,0.08671875,0.09526008004322647,1.0,0.0,0.0,-0.03709043376147747,0.0,0.001047259675397072,0.845681220293045,0.993539767795139,0.0,0.0
1,Q,1.0,0.0,0.0,0.0,0.0002684423525352031,1.0,0.0,0.0,9.747434997558594,1.6706292867660522,0.00378458050545305,3.264584083808586e-05,1.0,1.0,0.0,0.1140625,0.05078125,0.083975605876185,1.0,0.0,0.0,-0.008498727157711983,0.0,0.0008641216496471316,0.7696649342775345,0.9935156928168404,0.0,0.0
1,V,1.0,0.0,0.0,0.0,0.0003854202979709953,1.0,0.0,0.0,9.747434997558594,1.6706292867660522,0.006575256213545799,4.768760773004033e-05,1.0,1.0,0.0,0.051953125,0.091015625,0.11231574397534132,1.0,0.0,0.0,-0.0185981348156929,0.0,0.0009389684943016619,0.7031506448984146,0.9935045030381945,0.0,0.0
2,FFN1,1.0,0.0,0.0,0.0,0.00024666583631187676,1.0,0.0,0.0,52.23850936889649,2.347199535369873,0.0028951285872608422,2.3536191292805597e-05,1.0,1.0,0.0,0.117578125,0.103125,0.032067088526673615,1.0,0.0,0.0,-0.01001369571313262,0.0,0.0005111082951771096,0.6271343648433685,0.994126722547743,0.0,0.0
2,FFN2,1.0,0.0,0.0,0.0,0.0002314329263754189,1.0,0.0,0.0,64.18538360595703,0.6115219473838807,0.006671071890741587,0.00015352616901509464,1.0,1.0,0.0,0.1328125,0.071484375,0.04297660150332376,1.0,0.0,0.0,0.016237232089042663,0.0,0.0004792509600520134,0.7221547544002533,0.9954087999131944,0.0,0.0
2,K,1.0,0.0,0.0,0.0,0.00017471736937295644,1.0,0.0,0.0,11.20422306060791,1.8014007568359376,0.0010968841146677733,2.7056721228291282e-05,1.0,1.0,0.0,0.121875,0.06015625,0.08666867911815643,1.0,0.0,0.0,0.01925948280841112,0.0,0.00081645239260979,0.7696649134159088,0.9936421712239584,0.0,0.0
2,O,1.0,0.0,0.0,0.0,0.0005242412851657718,1.0,0.0,0.0,3.255135154724121,1.0684462547302247,0.0044855628162622455,0.0001800617465050891,1.0,1.0,0.0,0.04609375,0.09140625,0.0811923039611429,1.0,0.0,0.0,0.008307758904993533,0.0,0.0010112054209457711,0.7126526981592178,0.9935350206163195,0.0,0.0
2,Q,1.0,0.0,0.0,0.0,0.0001913534157210961,1.0,0.0,0.0,11.20422306060791,1.8014007568359376,0.0013792738667689265,2.418605326965917e-05,1.0,1.0,0.0,0.1328125,0.05859375,0.07068602065555751,1.0,0.0,0.0,0.025582451745867728,0.0,0.000775307507137768,0.7791669636964798,0.9937103271484375,0.0,0.0
2,V,1.0,0.0,0.0,0.0,0.0004894421552307903,1.0,0.0,0.0,11.20422306060791,1.8014007568359376,0.0028404681477695705,6.0100121481809764e-05,1.0,1.0,0.0,0.059375,0.077734375,0.07594269714318216,1.0,0.0,0.0,0.03058037254959345,0.0,0.0007788194110617041,0.6746445685625077,0.993717787000868,0.0,0.0
3,FFN1,1.0,0.0,0.0,0.0,0.00027398854726925494,1.0,0.0,0.0,94.31477355957031,2.302949857711792,0.004388929018750787,2.4249805937870407e-05,1.0,1.0,0.0,0.11796875,0.09609375,0.032904085936024785,1.0,0.0,0.0,0.007900499925017356,0.0,0.0005133597951498814,0.7506608545780182,0.9941407945421007,0.0,0.0
