step,module_name,layer_idx,sublayer,mac_snr_db,mac_nmse,cosine,out_clip_ratio,ref_deadzone_ratio,mean_abs_err,median_abs_err,p95_abs_err
0,bert.encoder.layer.0.attention.self.query,0,Q,13.580972713843263,0.043846304615917146,0.979870080947876,0.0009028117056004703,0.2680210471153259,0.12429874390363693,0.07745873928070068,0.3932458162307739
1,bert.encoder.layer.0.attention.self.query,0,Q,13.513024787214718,0.04453526039070295,0.9792266488075256,0.0008388095302507281,0.26756879687309265,0.127655491232872,0.080979123711586,0.39915475249290466
2,bert.encoder.layer.0.attention.self.query,0,Q,13.61221761630842,0.04353147283641119,0.9800093173980713,0.0008481343393214047,0.26662275195121765,0.1247689425945282,0.07838863134384155,0.39241823554039
3,bert.encoder.layer.0.attention.self.query,0,Q,13.536838746284218,0.04429197116337056,0.9791154861450195,0.0009668138227425516,0.2681087851524353,0.12768450379371643,0.08105111122131348,0.399236798286438
4,bert.encoder.layer.0.attention.self.query,0,Q,13.606172794649698,0.043591581907412365,0.979863703250885,0.0009070502128452063,0.2678019106388092,0.12527769804000854,0.0791398286819458,0.39235758781433105
5,bert.encoder.layer.0.attention.self.query,0,Q,13.584508452587233,0.04380997434139166,0.9798210263252258,0.0008629693184047937,0.2676506042480469,0.12513631582260132,0.07842695713043213,0.39359796047210693
6,bert.encoder.layer.0.attention.self.query,0,Q,13.552298449609738,0.044135708261571725,0.9795598983764648,0.0008341471548192203,0.2674713134765625,0.1262497752904892,0.07924562692642212,0.3979758024215698
7,bert.encoder.layer.0.attention.self.query,0,Q,13.541189877276718,0.0442482041686415,0.9793443083763123,0.0008803473319858313,0.2671589255332947,0.12725786864757538,0.08040246367454529,0.39929884672164917
8,bert.encoder.layer.0.attention.self.query,0,Q,13.566462509802086,0.04399273475357393,0.9797924160957336,0.0008443196420557797,0.2677370607852936,0.1251060664653778,0.07808595895767212,0.39565372467041016
9,bert.encoder.layer.0.attention.self.query,0,Q,13.61662153941104,0.043485543622857246,0.9796729683876038,0.0010130139999091625,0.26837751269340515,0.12581788003444672,0.07979351282119751,0.39317166805267334
10,bert.encoder.layer.0.attention.self.query,0,Q,13.593983566399483,0.04371531602450844,0.9799488186836243,0.0009066264028660953,0.26732635498046875,0.12479379773139954,0.0781145840883255,0.39313405752182007
11,bert.encoder.layer.0.attention.self.query,0,Q,13.59664809081918,0.043687282957054076,0.9797273278236389,0.0008324517402797937,0.26626333594322205,0.126048743724823,0.0796210765838623,0.3953298032283783
12,bert.encoder.layer.0.attention.self.query,0,Q,13.646729590887405,0.04318667856683848,0.9801520705223083,0.000850677490234375,0.2668062746524811,0.12445034086704254,0.07826763391494751,0.3906404972076416
13,bert.encoder.layer.0.attention.self.query,0,Q,13.61337395344573,0.04352029579256912,0.9801201820373535,0.0008951823110692203,0.2682172954082489,0.12396720796823502,0.07735955715179443,0.39113369584083557
14,bert.encoder.layer.0.attention.self.query,0,Q,13.60256541467428,0.043627370975048305,0.979893147945404,0.0008345709647983313,0.26678720116615295,0.12496847659349442,0.07837224006652832,0.39439570903778076
15,bert.encoder.layer.0.attention.self.query,0,Q,13.541044080973828,0.0442490657247137,0.9793635010719299,0.0008511013584211469,0.2672470808029175,0.12693756818771362,0.0799444317817688,0.4002280831336975
16,bert.encoder.layer.0.attention.self.query,0,Q,13.61443298493317,0.043507988658700494,0.9796287417411804,0.0009324815473519266,0.2665960490703583,0.12660455703735352,0.0805184543132782,0.39540842175483704
17,bert.encoder.layer.0.attention.self.query,0,Q,13.582008500741342,0.04383479459312613,0.9797294735908508,0.0008655124111101031,0.26697540283203125,0.1257263720035553,0.07913744449615479,0.3950061798095703
18,bert.encoder.layer.0.attention.self.query,0,Q,13.639066258081193,0.043261310842134644,0.9799537658691406,0.0008833143510855734,0.2667138874530792,0.12514914572238922,0.07915261387825012,0.3925381600856781
19,bert.encoder.layer.0.attention.self.query,0,Q,13.60711187147637,0.043581740647624594,0.9798421859741211,0.0009256998891942203,0.26782479882240295,0.1252661794424057,0.07897937297821045,0.39281025528907776
20,bert.encoder.layer.0.attention.self.query,0,Q,13.584300755818784,0.04381176432847957,0.9796058535575867,0.000888824462890625,0.2679837644100189,0.12616682052612305,0.07970565557479858,0.3951413631439209
21,bert.encoder.layer.0.attention.self.query,0,Q,13.57760750181356,0.04387944324723849,0.9798184037208557,0.0008422003593295813,0.2679769694805145,0.12496752291917801,0.07829856872558594,0.39387381076812744
22,bert.encoder.layer.0.attention.self.query,0,Q,13.510365502603985,0.04456265038650365,0.9791684746742249,0.0009646945400163531,0.26823171973228455,0.12738312780857086,0.08045774698257446,0.3999231457710266
23,bert.encoder.layer.0.attention.self.query,0,Q,13.558363688783716,0.044073646373738944,0.9795078635215759,0.0008303324575535953,0.2667121887207031,0.1267988234758377,0.08002439141273499,0.3984450697898865
24,bert.encoder.layer.0.attention.self.query,0,Q,13.627893206418896,0.043375425898846194,0.9801986813545227,0.0008947584428824484,0.2677938640117645,0.12355458736419678,0.07706116139888763,0.39001449942588806
25,bert.encoder.layer.0.attention.self.query,0,Q,13.571664773329488,0.043938619246972455,0.9796299338340759,0.000858306884765625,0.2670512795448303,0.12597617506980896,0.07943528890609741,0.3950914144515991
26,bert.encoder.layer.0.attention.self.query,0,Q,13.544624049325414,0.044213538584916466,0.9795096516609192,0.0008536444511264563,0.26729923486709595,0.12616634368896484,0.07929202914237976,0.39664772152900696
27,bert.encoder.layer.0.attention.self.query,0,Q,13.574859657110851,0.04390679975670552,0.9797936081886292,0.0008260938921011984,0.2673288881778717,0.1255190521478653,0.07872903347015381,0.39622676372528076
28,bert.encoder.layer.0.attention.self.query,0,Q,13.558268748289727,0.04407597543335362,0.9797407984733582,0.000873565673828125,0.2671186625957489,0.1252763867378235,0.07812067866325378,0.3962736129760742
