epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.4030781513605364,2.356542844772339,12.58,49.36
1,2.03122860284952,1.8865771055221559,31.53,82.45
2,1.7897759186915863,1.6042808584213257,40.58,89.63
3,1.660169778420375,1.509504213142395,44.95,91.82
4,1.573772501334166,1.4446749502182006,46.84,92.85
5,1.5281648232386662,1.388788390159607,49.78,93.39
6,1.4740481697596037,1.349144267654419,50.77,93.89
7,1.4458789956875338,1.32621346950531,51.83,94.15
8,1.4098968991866478,1.3611571376800538,49.73,93.84
9,1.378949508911524,1.2921947566986085,52.47,94.48
10,1.3563117776161586,1.2811948644638063,53.76,94.48
11,1.3512469230554043,1.2657307266235351,54.63,94.89
12,1.3221769507114705,1.213612363243103,56.16,95.14
13,1.303169463842343,1.190954754447937,57.21,95.42
14,1.2831636352416798,1.1996987504959107,56.48,95.46
15,1.2595809150964785,1.160334354019165,59.1,95.62
16,1.2490570306777955,1.1365355889320374,59.24,95.92
17,1.2332157674508217,1.1846424699783324,56.7,95.82
18,1.2190621405075759,1.128560197353363,59.4,95.92
19,1.210036903161269,1.0966818013191224,60.63,96.36
20,1.1975934089758458,1.1084334784507752,59.97,96.3
21,1.1844840236199208,1.092225480079651,61.25,96.12
22,1.1752272391930605,1.1290365671157836,59.45,96.22
23,1.16191225816042,1.0651918986320497,61.35,96.45
24,1.1584947074070955,1.0705558020591737,61.8,96.55
25,1.146780305642348,1.045919974899292,62.89,96.5
26,1.1451774172293834,1.0845060026168822,61.66,96.02
27,1.1341910239977715,1.0521701820373535,62.65,96.38
28,1.1252318096466554,1.03491001329422,63.29,96.55
29,1.1170313278834025,1.026732279777527,63.7,96.72
30,1.1130738317966462,1.052874969959259,62.73,96.41
31,1.103392083522601,1.0282897906303405,63.97,96.64
32,1.0944098911224267,1.0245697581291198,63.18,96.91
33,1.0835942117067483,1.0278376146316528,63.74,96.62
34,1.081325059823501,1.0081465598106385,64.46,96.92
35,1.0755025365413764,1.0036304837226868,64.53,96.92
36,1.0720809828012416,0.9990436243057251,64.39,97.03
37,1.063869313398997,1.0010631567955017,64.64,97.05
38,1.0570000474269574,0.9834686162948608,65.24,97.04
39,1.0538789067512904,0.9925690629005433,65.18,97.15
40,1.0529296873471676,0.9853470820426941,65.08,97.15
41,1.0427745501200358,0.9821426712989807,65.35,97.07
42,1.0403451806459671,0.9831628863334656,65.36,96.97
43,1.03623299293029,0.9900843321800232,65.12,96.97
44,1.031579109032949,0.9916705803871155,64.83,96.91
45,1.029575461913378,0.9786162236213684,65.47,97.13
46,1.0288830699064793,0.9740391703605652,65.52,97.13
47,1.0232765541626856,0.9749068810462952,65.66,97.16
48,1.0273278872172038,0.9753909255981446,65.71,97.23
49,1.0307198733855516,0.9742255402565002,65.88,97.12
