step,tile_name,subtype,actual_norm,lr,target_norm,residual_norm,cosine_sim,signed_bias,zero_frac,recovery_ratio
1,bert.encoder.layer.10.attention.self.query,query,0.0001561606040922925,0.0,0.0,0.00012468780914787203,0.0,0.0,1.0,124687809.14787203
1,bert.encoder.layer.10.attention.self.key,key,0.00021979860321152955,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.10.attention.self.value,value,0.0002205631317337975,0.0,0.0,0.00012463527673389763,0.0,0.0,1.0,124635276.73389763
1,bert.encoder.layer.10.attention.output.dense,dense,0.00025639458908699453,0.0,0.0,0.00013578005018644035,0.0,0.0,1.0,135780050.18644035
1,bert.encoder.layer.11.attention.self.query,query,0.00010162376565858722,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.11.attention.self.key,key,0.0002127015613950789,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,bert.encoder.layer.11.attention.self.value,value,0.00025748505140654743,0.0,0.0,0.00011785197420977056,0.0,0.0,1.0,117851974.20977056
1,bert.encoder.layer.11.attention.output.dense,dense,0.0001248626213055104,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,bert.encoder.layer.0.attention.self.query,query,0.0004365318745840341,0.008,3.1706242964446574e-08,0.00024061974545475096,0.03143567219376564,9.123789723730624e-09,0.9999864101409912,7589.064880843932
2,bert.encoder.layer.0.attention.self.key,key,0.00041929882718250155,0.008,3.83857496899509e-08,0.0002206757344538346,0.0014705684734508395,1.9513244353674963e-09,0.9999864101409912,5748.899998037878
2,bert.encoder.layer.0.attention.self.value,value,0.00043258137884549797,0.008,8.20779035848318e-08,0.0002759275957942009,0.0342751108109951,1.6872743202611673e-08,0.9999932050704956,3518.2316591233057
2,bert.encoder.layer.0.attention.output.dense,dense,0.00031174541800282896,0.008,5.903546451691e-08,0.00016850365500431508,0.0066940211690962315,5.2085087354214465e-09,1.0,4386.069756248508
2,bert.encoder.layer.1.attention.self.query,query,0.0004909095005132258,0.008,3.65114480871398e-08,0.00021402920538093895,0.012450635433197021,4.988943480555008e-09,1.0,5861.987614939255
2,bert.encoder.layer.1.attention.self.key,key,0.00040247602737508714,0.008,3.325120800923287e-08,0.00017860509979072958,0.008328290656208992,2.924731790088231e-09,1.0,5371.394677619241
2,bert.encoder.layer.1.attention.self.value,value,0.0003948502999264747,0.008,1.2007063787677907e-07,0.00020645263430196792,0.017906975001096725,1.231822466252197e-08,1.0,1894.9284085394866
2,bert.encoder.layer.1.attention.output.dense,dense,0.0007205617148429155,0.008,6.010989750393492e-08,0.0002479591057635844,0.03551016375422478,1.6128304025642137e-08,1.0,4125.131478172553
2,bert.encoder.layer.2.attention.self.query,query,0.0004108326102141291,0.008,3.8068819208092464e-08,0.0002686621155589819,0.016582783311605453,9.41483246919006e-09,0.9999864101409912,7670.490122085742
2,bert.encoder.layer.2.attention.self.key,key,0.00046167802065610886,0.008,3.618158217477685e-08,0.00020831573056057096,0.01579207368195057,6.791436302222564e-09,1.0,6663.460144674943
2,bert.encoder.layer.2.attention.self.value,value,0.00038696263800375164,0.008,1.5539528419594717e-07,0.00019240814435761422,0.007774375379085541,9.22074505638193e-09,1.0,1383.8673298722053
2,bert.encoder.layer.2.attention.output.dense,dense,0.00047473510494455695,0.008,6.335235980259313e-08,0.0002898434177041054,0.028737885877490044,1.677960170809456e-08,1.0,5110.786350730122
2,bert.encoder.layer.3.attention.self.query,query,0.0003165372763760388,0.008,2.301887569444716e-08,0.00017747194215189666,0.016872433945536613,5.61968915846478e-09,1.0,9383.382145198413
