layer_idx,sublayer,mac_snr_db,mac_nmse,cosine,out_clip_ratio,ref_deadzone_ratio,mean_abs_err,median_abs_err,p95_abs_err,label
0,FFN1,22.00918366912104,0.0018323992686295296,0.999169354736805,0.0020958889793837444,0.003674312171060592,0.04462851906195283,0.020727394297719002,0.16589015558362008,obcal_per_module_adc8
0,FFN2,33.48422939396706,0.00044962753226897344,0.9992824539542198,0.008595114836934955,0.017640211274847387,0.02342816725373268,0.01900449245236814,0.05953495634719729,obcal_per_module_adc8
0,K,19.941294735427626,0.01013471516802066,0.9957716518640518,0.0013095770927611739,0.017948826625943184,0.029745219061151146,0.008583054160699249,0.09542146164923906,obcal_per_module_adc8
0,O,7.701431199090806,0.16996190512805828,0.9468731033802033,0.0,0.042140979785472155,0.029434572951868177,0.003916981250513345,0.12486517041921616,obcal_per_module_adc8
0,Q,15.366352855804838,0.029077297159043926,0.9891520100831985,0.000291934543492971,0.015304497606121004,0.052281997166574,0.009385051745921373,0.2987783144414425,obcal_per_module_adc8
0,V,9.302000461793941,0.11732538250820741,0.9602352404594421,0.0,0.016247849003411828,0.07859518207609653,0.010150241479277611,0.37341672256588937,obcal_per_module_adc8
1,FFN1,20.075635798177345,0.0025969886627996643,0.9987854519486428,0.00039751582793542186,0.005152532262727618,0.08973837058991194,0.06755369566380978,0.24597973108291626,obcal_per_module_adc8
1,FFN2,25.431481568046777,0.002880702989984249,0.9987944433093071,0.005050504470709712,0.01407018024008721,0.021135283429175616,0.015150739471428096,0.0498406302370131,obcal_per_module_adc8
1,K,23.29135496314425,0.004690889576921527,0.9979746770858765,0.0003783713435404934,0.0182680151425302,0.024231487894430758,0.01209421562962234,0.051752324104309085,obcal_per_module_adc8
1,O,7.838705477966691,0.16456819365533706,0.9375964963436126,8.138020974968185e-07,0.02758182942867279,0.037502309270203114,0.00703111982671544,0.16136075966060162,obcal_per_module_adc8
1,Q,25.15921552113074,0.003053556593876279,0.9987319245934486,0.00025616539911425205,0.01847409559413791,0.020722673619166018,0.012033491106703877,0.046651902794837954,obcal_per_module_adc8
1,V,13.501602069776498,0.04465276922709035,0.9846713677048683,2.313190034328727e-05,0.01894628310576081,0.042757802028208974,0.009073564186692237,0.24855158425867557,obcal_per_module_adc8
2,FFN1,18.29926431665703,0.003685866476430343,0.9982574728131294,0.0005471939507697243,0.00374890168546699,0.10547315888106823,0.08006072133779525,0.2860639722645283,obcal_per_module_adc8
